source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,latent_dim,seed,job_id
depablo_low_temp,10,20,20,20,0.9085153901759946,0.0777645525378335,0.0890919672458267,4.2111830622637573e-08,0.0003625206591095,5.843896979058627e-05,mp2,2,786,4670372.zeus-master
depablo_low_temp,25,20,20,20,0.9872016939277884,0.0298303125088933,0.1113451632350467,1.1721922801299913e-07,0.0002144174883142,9.505187117611058e-05,mp2,2,786,4670372.zeus-master
depablo_low_temp,50,20,20,20,0.9950842942574456,0.0202281179598364,0.121923909291221,5.184453030437908e-07,0.0003844918217509,0.0001559848489705,mp2,2,786,4670372.zeus-master
depablo_low_temp,75,20,20,20,0.993245691364628,0.0248475888897937,0.1271388104990921,1.240347560127475e-06,0.0004784642253071,0.0001909619895741,mp2,2,786,4670372.zeus-master
depablo_low_temp,100,20,20,20,0.9892191617989358,0.027993657000494,0.1309363081666797,2.3188876809854264e-06,0.000701781688258,0.0003874951187754,mp2,2,786,4670372.zeus-master
depablo_mixed_temp,5,20,20,20,0.1256453604818616,0.3607457556655697,0.2267994575756468,7.076093553735064e-05,0.0141531763947568,0.0021653271112882,mp2,2,786,4670372.zeus-master
depablo_mixed_temp,10,20,20,20,0.2276368442863241,0.2846641087926674,0.1792210970466572,6.968392661121925e-05,0.0137723419582471,0.0019085865103988,mp2,2,786,4670372.zeus-master
depablo_mixed_temp,25,20,20,20,0.3525001589641641,0.2659302300565506,0.1814265265332104,6.185537225462667e-05,0.0123930454952642,0.0017458519927458,mp2,2,786,4670372.zeus-master
depablo_mixed_temp,50,20,20,20,0.6605644832778336,0.1662550396142405,0.1290510646927359,5.042906180108275e-05,0.0101201283512637,0.0017109240827267,mp2,2,786,4670372.zeus-master
depablo_mixed_temp,75,20,20,20,0.705828476296666,0.1461652807136402,0.1721180025747532,4.122896700664569e-05,0.0081347351893782,0.0010868191384361,mp2,2,786,4670372.zeus-master
depablo_mixed_temp,100,20,20,20,0.8532430806738497,0.0998417039709736,0.1264354805514444,3.721346058682684e-05,0.0058647424913942,0.0012112387863453,mp2,2,786,4670372.zeus-master
lj_noisy,5,20,20,20,-25.72522568822995,0.1603158680698641,0.0012192600578043,2.7410733127730683e-08,0.0003384971467312,5.976546963211149e-05,mp2,2,786,4670372.zeus-master
lj_noisy,10,20,20,20,-2.840180851089803,0.0737158344389649,0.0021538442446725,3.3684831635127925e-08,0.0001303839206229,0.0001079460736946,mp2,2,786,4670372.zeus-master
lj_noisy,25,20,20,20,0.0777773815840455,0.0518595764220184,0.0041168599721615,3.6082327881103993e-07,0.0005141663365066,0.0001660335226915,mp2,2,786,4670372.zeus-master
lj_noisy,50,20,20,20,0.2629986391026133,0.0514026442113914,0.0047651600463273,1.7078324816566235e-06,0.0006638249848037,0.0001982458343263,mp2,2,786,4670372.zeus-master
lj_noisy,75,20,20,20,0.4542938970437161,0.0401885256480751,0.0050961142073924,4.337855989433592e-06,0.0008433931041508,0.0002652912517078,mp2,2,786,4670372.zeus-master
lj_noisy,100,20,20,20,0.2549657257853904,0.0431596014240419,0.0053100823581802,8.374110075237695e-06,0.0009909827727824,0.0005095240543596,mp2,2,786,4670372.zeus-master
reid,5,20,20,20,0.1155468526551605,0.1132135703784808,0.0215407678341569,1.8065063045469288e-08,0.0002380988531513,9.925747426677844e-05,mp2,2,786,4670372.zeus-master
reid,10,20,20,20,0.6307704739670565,0.0916483540550948,0.0283466184553629,3.250931099874066e-08,0.0001303808356169,0.0001255244696949,mp2,2,786,4670372.zeus-master
reid,25,20,20,20,0.924598866817227,0.0435449688174857,0.0340742914742546,2.832036779309988e-07,0.0003768083406612,0.0001151239899627,mp2,2,786,4670372.zeus-master
reid,50,20,20,20,0.9653886515111416,0.0256577298335375,0.03674579830514,1.3950713487531629e-06,0.0006693305214866,0.0001702378227491,mp2,2,786,4670372.zeus-master
reid,75,20,20,20,0.9704136329952654,0.022481260701523,0.0381454871288846,3.4796091995303867e-06,0.0010520428884774,0.000225207600306,mp2,2,786,4670372.zeus-master
reid,100,20,20,20,0.9710318990781696,0.0211289020538895,0.0392619338029476,6.64393914178163e-06,0.0015682863537222,0.0002715330338105,mp2,2,786,4670372.zeus-master
depablo_low_temp,5,20,20,20,0.9174006987245408,0.0622432620036387,0.0635535199374179,2.5924722113490616e-08,0.0002981253142934,8.814892935333773e-05,mp2,2,2026,4670373.zeus-master
depablo_low_temp,10,20,20,20,0.9772130887485242,0.0377951176639984,0.0890919672458267,1.828975721984705e-08,0.0001188132097013,6.321037071757018e-05,mp2,2,2026,4670373.zeus-master
depablo_low_temp,25,20,20,20,0.9774145704413926,0.0387400499309853,0.1113451632350467,1.1175912986161052e-07,0.0001761264516972,0.000149693347339,mp2,2,2026,4670373.zeus-master
depablo_low_temp,50,20,20,20,0.972190212274449,0.0499096649651425,0.121923909291221,5.368074592837502e-07,0.0004083187319338,0.0003487811933155,mp2,2,2026,4670373.zeus-master
depablo_low_temp,75,20,20,20,0.980168222884542,0.0401018385782371,0.1271388104990921,1.2570145848656011e-06,0.0005265338812023,0.0003561852296115,mp2,2,2026,4670373.zeus-master
depablo_low_temp,100,20,20,20,0.9754279885141856,0.042175124332816,0.1309363081666797,2.4335837125022406e-06,0.0007849980145692,0.0005910244828555,mp2,2,2026,4670373.zeus-master
depablo_mixed_temp,5,20,20,20,0.1401232711541494,0.3549909316885746,0.2267994575756468,4.814090569311702e-05,0.0115772477933205,0.0013612790193292,mp2,2,2026,4670373.zeus-master
depablo_mixed_temp,10,20,20,20,0.3064151127709423,0.2726090951820484,0.1792210970466572,4.794129907708112e-05,0.011218219512375,0.0009238182354238,mp2,2,2026,4670373.zeus-master
depablo_mixed_temp,25,20,20,20,0.4155658384049946,0.2574300071190101,0.1814265265332104,4.185382110364344e-05,0.009740346414037,0.0009930840984452,mp2,2,2026,4670373.zeus-master
depablo_mixed_temp,50,20,20,20,0.7122264052565963,0.1575388876842282,0.1290510646927359,3.277937980499246e-05,0.0072798749664798,0.0010278968329657,mp2,2,2026,4670373.zeus-master
