variant,seed,original_index,frame,encoded,best,gain,affine_x0_to_xt_mse,last_increment_extrapolation_mse,last_increment_extrapolation_valid,nodes,pca_in_sample_rank2_mse,pca_in_sample_rank4_mse,pca_in_sample_rank8_mse,persistence_mse,persistence_valid,source,zero_motion_mse
ljonly_r16_d4,786,42,199,2.318219958397094e-05,1.949672332557384e-05,0.1589787131737655,1.9460967338386053e-05,7.166591191806403e-12,1,182,9.741140062640192e-09,1.865759864694341e-09,4.555005714163179e-11,4.946397021861843e-09,1,lj_noisy,0.000186024526729
ljonly_r16_d4,786,178,25,7.737398846074939e-07,2.73357244395811e-07,0.646706535576254,3.091855744290968e-07,3.8318533121403424e-13,1,183,3.4631009407503875e-09,3.9659994413954415e-10,7.43271167910083e-11,3.493589530993933e-09,1,lj_noisy,2.143467522143216e-06
ljonly_r16_d4,786,178,100,9.868957931757905e-06,7.147935775719816e-06,0.2757152452015172,7.881904110917419e-06,2.266345102440865e-13,1,183,3.821764562108941e-09,8.193834200820414e-10,9.598921453487598e-12,3.590633379436036e-09,1,lj_noisy,3.5922101417283005e-05
ljonly_r16_d4,786,178,199,2.7043241061619483e-05,2.184996810683515e-05,0.1920358932921975,2.4054689464574643e-05,1.829417415302424e-12,1,183,1.5160464592915672e-08,2.8875959731006053e-09,1.2559917519977291e-10,4.285518756398404e-09,1,lj_noisy,0.000146697609924
ljonly_r16_d4,786,199,25,5.929862254561158e-07,3.202272864655243e-07,0.4599751685307524,3.059806539703343e-07,4.915061013405986e-13,1,124,1.0150084973155102e-09,7.085851630473689e-10,1.5876291260639728e-11,4.448325855441494e-09,1,lj_noisy,2.667711492651892e-06
ljonly_r16_d4,786,199,100,1.092645925382385e-05,1.0446429769217502e-05,0.0439327574885117,9.903439139780502e-06,5.812908420433345e-12,1,124,2.5060011539419633e-09,4.775600804500786e-10,3.929730317680499e-11,5.113907166872388e-09,1,lj_noisy,4.6094550043561184e-05
ljonly_r16_d4,786,199,199,4.460656418814324e-05,4.259933848516084e-05,0.0449984377751275,3.6973367682176636e-05,7.752042244379041e-12,1,124,9.035106206443904e-09,2.2065345367617812e-09,1.584083700957866e-11,5.335251259251159e-09,1,lj_noisy,0.000190143375524
r16_d4,123,42,25,3.387231402030011e-07,2.431200698538305e-07,0.2822454654024359,2.225384085403809e-07,8.032382911745112e-13,1,182,2.2321488277643462e-09,4.518659850191644e-10,4.070890726569952e-11,4.825966025007064e-09,1,lj_noisy,2.6836686646340906e-06
r16_d4,123,42,100,5.117800810694462e-06,4.926402652927209e-06,0.0373985164423156,5.107303100005573e-06,2.7736524080768866e-13,1,182,1.7294663200212312e-09,5.260730821595262e-10,1.916546152938208e-11,4.7645561195010385e-09,1,lj_noisy,4.6181210315193575e-05
r16_d4,123,42,199,2.0914809283567596e-05,1.8773665942717344e-05,0.1023745094597878,1.9460967338386053e-05,7.166591191806403e-12,1,182,9.741140062640192e-09,1.865759864694341e-09,4.555005714163179e-11,4.946397021861843e-09,1,lj_noisy,0.000186024526729
r16_d4,123,178,25,3.434606981045363e-07,2.676771089227259e-07,0.2206470481194467,3.091855744290968e-07,3.8318533121403424e-13,1,183,3.4631009407503875e-09,3.9659994413954415e-10,7.43271167910083e-11,3.493589530993933e-09,1,lj_noisy,2.143467522143216e-06
r16_d4,123,178,100,7.4270601544412784e-06,7.071977506711846e-06,0.0478093135568719,7.881904110917419e-06,2.266345102440865e-13,1,183,3.821764562108941e-09,8.193834200820414e-10,9.598921453487598e-12,3.590633379436036e-09,1,lj_noisy,3.5922101417283005e-05
r16_d4,123,178,199,2.471775587764569e-05,2.3049537048791532e-05,0.067490707372948,2.4054689464574643e-05,1.829417415302424e-12,1,183,1.5160464592915672e-08,2.8875959731006053e-09,1.2559917519977291e-10,4.285518756398404e-09,1,lj_noisy,0.000146697609924
