split,source,original_index,frame,coordinate_mse_shared,zero_displacement_mse_shared,explained_displacement_score_shared,shuffled_same_source_coordinate_mse_shared,shuffled_original_index_shared,valid_shared,total_shared,control_shared,transfer_only_shared,variant_shared,seed,coordinate_mse_ljonly,zero_displacement_mse_ljonly,explained_displacement_score_ljonly,shuffled_same_source_coordinate_mse_ljonly,shuffled_original_index_ljonly,valid_ljonly,total_ljonly,control_ljonly,transfer_only_ljonly,variant_ljonly,latent_dim,shared_minus_ljonly_mse
train,lj_noisy,102,100,8.039422937144991e-06,5.606986815109849e-05,0.8566177663289638,1.0523216587898789e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,8.356872967851814e-06,5.606986815109849e-05,0.850956079558962,9.428356861462817e-06,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.1745003070682287e-07
train,lj_noisy,102,125,1.3095072972646449e-05,8.798276394372806e-05,0.8511632007716672,1.657200846238993e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.382341179123614e-05,8.798276394372806e-05,0.8428850018842633,1.6782032616902143e-05,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-7.283388185896911e-07
train,lj_noisy,102,149,1.9371134840184823e-05,0.000124813261209,0.8447990649988772,2.4036738977883942e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,2.127188963640947e-05,0.000124813261209,0.8295702761841937,2.65741182374768e-05,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-1.9007547962246463e-06
train,lj_noisy,102,175,2.7940235668211244e-05,0.0001706574548734,0.8362788447247582,3.372351420694031e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.230330185033381e-05,0.0001706574548734,0.8107126238681402,3.9670074329478666e-05,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.363066182122566e-06
train,lj_noisy,102,199,3.868390922434628e-05,0.0002185022167395,0.8229587333182465,4.4721236918121576e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.6436998673016205e-05,0.0002185022167395,0.787475846396736,5.3724226745544e-05,99,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-7.753089448669925e-06
train,lj_noisy,99,0,2.5081305921048624e-07,0.0,,4.258142993762704e-08,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,8.999506349027797e-07,0.0,,3.568805198028713e-07,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-6.491375756922935e-07
train,lj_noisy,99,5,1.8483935093627227e-07,8.34548146144698e-08,-1.2148434669726522,2.5048612073419463e-08,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,6.659978453171789e-07,8.34548146144698e-08,-6.9803405998065085,2.055175656323627e-07,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-4.811584943809066e-07
train,lj_noisy,99,10,1.7170293631352254e-07,3.481648036540719e-07,0.5068343080303936,5.406018388498524e-08,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.95664778554783e-07,3.481648036540719e-07,-0.4236498731424429,1.2142498917455669e-07,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-3.2396184224126046e-07
train,lj_noisy,99,25,4.60784917777346e-07,2.362971372349421e-06,0.804997672350468,4.495234975365747e-07,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,4.368221482309309e-07,2.362971372349421e-06,0.8151386202378686,3.104497636741144e-07,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,2.3962769546415075e-08
train,lj_noisy,99,50,1.6899550701054975e-06,9.879052413452882e-06,0.8289355092595534,1.9380481717234943e-06,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,1.4777323258385875e-06,9.879052413452882e-06,0.8504176044428843,1.7187179537359043e-06,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,2.1222274426691e-07
train,lj_noisy,99,75,3.929440026695374e-06,2.276919803989585e-05,0.8274229940022364,4.691306457971223e-06,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,3.82550615540822e-06,2.276919803989585e-05,0.8319876638296516,4.430119588505477e-06,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,1.0393387128715403e-07
train,lj_noisy,99,100,7.679974260099698e-06,4.133538095629774e-05,0.8142033753548944,9.275951924792024e-06,178,1,1,same_source_cyclic_next_latent,False,r16_d4,3456456,7.709006240474992e-06,4.133538095629774e-05,0.813501023526905,8.937857273849659e-06,178,1,1,same_source_cyclic_next_latent,False,ljonly_r16_d4,4,-2.9031980375293642e-08
