split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5
train,depablo_mixed_temp,7,0,1.8474814891815186,1.2283152341842651,-0.4633873701095581,-2.6363253593444824,1.8033359050750732,0.7874405384063721
train,depablo_mixed_temp,7,10,1.5752439498901367,0.5615831613540649,-0.489060640335083,-2.659130096435547,1.9984817504882812,0.5772839188575745
train,depablo_mixed_temp,7,20,1.319258213043213,-0.16537368297576904,-0.5250882506370544,-2.7621512413024902,2.2754199504852295,0.35742902755737305
train,depablo_mixed_temp,7,30,1.2415361404418945,-0.2659521698951721,-0.5220523476600647,-2.7013607025146484,2.251084566116333,0.31989791989326477
train,depablo_mixed_temp,7,40,1.1103955507278442,-1.1333929300308228,-0.6033094525337219,-3.131208658218384,2.8321566581726074,0.09226459264755249
train,depablo_mixed_temp,7,50,0.9917990565299988,-1.5091241598129272,-0.6254401206970215,-3.208908796310425,2.994058132171631,-0.017841767519712448
train,depablo_mixed_temp,7,60,0.7498382329940796,-2.111992359161377,-0.6492778062820435,-3.239663600921631,3.1781811714172363,-0.20469701290130615
train,depablo_mixed_temp,7,70,0.8061105608940125,-2.409665584564209,-0.6998908519744873,-3.5680150985717773,3.524237632751465,-0.260653018951416
train,depablo_mixed_temp,7,80,0.37729591131210327,-3.335998058319092,-0.7240372896194458,-3.5141947269439697,3.724701166152954,-0.5591273307800293
train,depablo_mixed_temp,7,90,0.5338223576545715,-3.360236883163452,-0.761897623538971,-3.8122410774230957,3.973862648010254,-0.5326612591743469
train,depablo_mixed_temp,7,100,0.1756114363670349,-4.232664585113525,-0.7949997186660767,-3.841967821121216,4.227292537689209,-0.8036831617355347
train,depablo_mixed_temp,8,0,-0.663288414478302,-0.7391953468322754,-0.15424618124961853,0.2970101535320282,-0.07443863153457642,-0.09344340860843658
train,depablo_mixed_temp,8,10,-1.5797449350357056,-2.5308632850646973,-0.19088530540466309,0.5565438866615295,0.1838480830192566,-0.6917524933815002
train,depablo_mixed_temp,8,20,-1.7489038705825806,-2.081254482269287,-0.09722892940044403,1.209408164024353,-0.4690040349960327,-0.6175344586372375
train,depablo_mixed_temp,8,30,-1.9855893850326538,-2.8645732402801514,-0.1504620909690857,1.030944585800171,-0.12293582409620285,-0.8421241044998169
train,depablo_mixed_temp,8,40,-2.5166001319885254,-3.2880589962005615,-0.08471338450908661,1.660007357597351,-0.5234941244125366,-1.0437994003295898
train,depablo_mixed_temp,8,50,-2.3555338382720947,-3.95353102684021,-0.20524340867996216,0.8609550595283508,0.30149897933006287,-1.1748501062393188
