epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
11,1.1128926078478496,0.9901506241876632,1.1128926078478496,0.46114111443360645,0.0,0.9901506241876632,0.4216651057358831,0.0,,,,,,,,,,,1,1,11,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,1.1063649654388428,0.985333998221904,1.1063649654388428,0.45774751404921216,0.0,0.985333998221904,0.4195323914755136,0.0,-0.1611714666876669,0.5464876710802222,20.0,-0.1611714666876669,-0.1611714666876669,-0.1611714666876669,-0.1611714666876669,-0.1611714666876669,-0.1611714666876669,-0.1611714666876669,1,1,12,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,1.0903982122739155,0.9790956256911159,1.0903982122739155,0.4518442203601201,0.0,0.9790956256911159,0.4167710543842986,0.0,,,,,,,,,,,1,1,13,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,1.0981284181276958,0.971507600042969,1.0981284181276958,0.45508627593517303,0.0,0.971507600042969,0.4134119643131271,0.0,-0.04627268788897432,0.5878432755036792,20.0,-0.04627268788897432,-0.04627268788897432,-0.04627268788897432,-0.04627268788897432,-0.04627268788897432,-0.04627268788897432,-0.04627268788897432,1,1,14,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,1.0959462026755016,0.961806274484843,1.0959462026755016,0.4543858269850413,0.0,0.961806274484843,0.40912716486491263,0.0,,,,,,,,,,,1,1,15,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,1.065009166797002,0.9503087517805398,1.065009166797002,0.4391416360934575,0.0,0.9503087517805398,0.4040417313808575,0.0,-0.061061929973495355,0.6410057987108722,20.0,-0.061061929973495355,-0.061061929973495355,-0.061061929973495355,-0.061061929973495355,-0.061061929973495355,-0.061061929973495355,-0.061061929973495355,1,1,16,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
17,1.0587126910686493,0.9363671438768506,1.0587126910686493,0.4378242443005244,0.0,0.9363671438768506,0.3978799182223156,0.0,,,,,,,,,,,1,1,17,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
18,1.058977057536443,0.9202790195122361,1.058977057536443,0.4383348772923152,0.0,0.9202790195122361,0.39077059901319444,0.0,-0.4479245844046913,0.5690574408450426,20.0,-0.4479245844046913,-0.4479245844046913,-0.4479245844046913,-0.4479245844046913,-0.4479245844046913,-0.4479245844046913,-0.4479245844046913,1,1,18,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
19,1.0588733553886414,0.9031052985228598,1.0588733553886414,0.4357684900363286,0.0,0.9031052985228598,0.3831732920370996,0.0,,,,,,,,,,,1,1,19,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
20,1.0220883190631866,0.8853973862715065,1.0220883190631866,0.42134609321753186,0.0,0.8853973862715065,0.3753215498290956,0.0,-0.2521464927208825,0.6481692770455486,20.0,-0.2521464927208825,-0.2521464927208825,-0.2521464927208825,-0.2521464927208825,-0.2521464927208825,-0.2521464927208825,-0.2521464927208825,1,1,20,depablo_mixed_temp,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
