variant,seed,split,source,frame,control,transfer_only,valid,total,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse
ljonly_r16_d4,786,validation,lj_noisy,10,same_source_cyclic_next_latent,False,20,20,8.788154275407578e-07,4.023101709549337e-07,-1.1937762954062239,1.0432557076001103e-06
ljonly_r16_d4,786,validation,lj_noisy,25,same_source_cyclic_next_latent,False,20,20,6.590967274178183e-07,2.700515562992223e-06,0.7551928260372185,9.049536167538008e-07
ljonly_r16_d4,786,validation,lj_noisy,50,same_source_cyclic_next_latent,False,20,20,1.7757073010216117e-06,1.1352922138030408e-05,0.8448516785180062,2.2948674711642525e-06
ljonly_r16_d4,786,validation,lj_noisy,75,same_source_cyclic_next_latent,False,20,20,4.386975444958807e-06,2.626361301736324e-05,0.8344883069568944,5.309257880981022e-06
ljonly_r16_d4,786,validation,lj_noisy,100,same_source_cyclic_next_latent,False,20,20,8.261231505457544e-06,4.754355759359896e-05,0.827611784624497,9.677706930233399e-06
ljonly_r16_d4,786,validation,lj_noisy,125,same_source_cyclic_next_latent,False,20,20,1.3557365537053557e-05,7.536162738688264e-05,0.8221144775047644,1.5837094679227448e-05
ljonly_r16_d4,786,validation,lj_noisy,149,same_source_cyclic_next_latent,False,20,20,2.0387474205563193e-05,0.00010829863385876113,0.8146354182411375,2.3895170579635304e-05
ljonly_r16_d4,786,validation,lj_noisy,175,same_source_cyclic_next_latent,False,20,20,3.0085212074482115e-05,0.00015109891755851,0.8046116558279746,3.499639851725078e-05
ljonly_r16_d4,786,validation,lj_noisy,199,same_source_cyclic_next_latent,False,20,20,4.108290531803505e-05,0.00019709730695462,0.795598251631412,4.750690186483553e-05
ljonly_r16_d4,2026,train,lj_noisy,0,same_source_cyclic_next_latent,False,5,5,1.6217692518694093e-06,0.0,,1.6287812513837708e-06
ljonly_r16_d4,2026,train,lj_noisy,5,same_source_cyclic_next_latent,False,5,5,1.3080631333650672e-06,9.486441570061288e-08,-12.83727124235464,1.3425419865598086e-06
ljonly_r16_d4,2026,train,lj_noisy,10,same_source_cyclic_next_latent,False,5,5,1.0581567039480434e-06,3.9631250956517763e-07,-1.70176155005768,1.1220802889511105e-06
