code_snapshot,code_version,cpus,frozen_manifest,frozen_manifest_sha256,job_id,kind,memory_gb,placement,queue,seed,smoke,status,submitted_at,variant,walltime,run_status,path,elapsed_seconds,max_rss_kb,epochs_completed,total_train_frame_samples,approx_optimizer_steps_per_epoch
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672444.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:04:35.801599+00:00,r16_d6,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d6_s3456456_code_v2,7548.029752969742,6313324,23,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672445.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:04:39.423677+00:00,r16_d6,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d6_s123_code_v2,8418.86317205429,6322596,19,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672446.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:04:42.573705+00:00,r16_d6,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d6_s456_code_v2,8716.272906064987,6318320,20,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672447.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:04:45.305913+00:00,r16_d6,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d6_s786_code_v2,8219.779817819595,6310772,23,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672448.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:04:48.524472+00:00,r16_d6,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d6_s2026_code_v2,8493.173473358154,6309068,27,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672449.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:04:53.028188+00:00,r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d8_s3456456_code_v2,7393.924008607864,6314892,16,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672450.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:04:57.578563+00:00,r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d8_s123_code_v2,9197.984669446945,6324904,21,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672451.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:05:03.052876+00:00,r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d8_s456_code_v2,10860.078636407852,6316084,22,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672452.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:05:08.050277+00:00,r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d8_s786_code_v2,10888.40509557724,6315168,18,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672453.zeus-master,run,16,free:shared,mendels_q,2026,False,submitted,2026-09-07T19:05:12.806965+00:00,r16_d8,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r16_d8_s2026_code_v2,9750.460577726364,6287764,21,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672454.zeus-master,run,16,free:shared,mendels_q,3456456,False,submitted,2026-09-07T19:05:18.239228+00:00,r96_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d4_s3456456_code_v2,14240.309402942657,6319664,20,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672455.zeus-master,run,16,free:shared,mendels_q,123,False,submitted,2026-09-07T19:05:23.836909+00:00,r96_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d4_s123_code_v2,7244.842139959335,6323396,17,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672456.zeus-master,run,16,free:shared,mendels_q,456,False,submitted,2026-09-07T19:05:28.955135+00:00,r96_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d4_s456_code_v2,14212.816972732544,6317836,24,24000,750
/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2,code_v2,8,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/code_v2/hashes.json,3fbd7c8d6e117ce462ef290fabef3592c2b786bb45a6b8325d4fb9f353eacfb9,4672457.zeus-master,run,16,free:shared,mendels_q,786,False,submitted,2026-09-07T19:05:34.774628+00:00,r96_d4,24:00:00,completed,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/compact_lj_reconstruction/r96_d4_s786_code_v2,10846.274451732635,6319276,17,24000,750
