split,source,original_index,frame,coordinate_mse,zero_displacement_mse,explained_displacement_score,shuffled_same_source_coordinate_mse,shuffled_original_index,valid,total,control,transfer_only,variant,seed,job_id,run_status
train,reid,73,100,7.996732165338472e-07,4.084977626916952e-05,0.9804240490507315,5.944742042629514e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,125,7.879598911131325e-07,6.38140772935003e-05,0.9876522559828128,9.58846794674173e-06,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,149,9.544157819618704e-07,9.065200720215216e-05,0.9894716530673884,1.373417762806639e-05,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,175,1.2984415889150114e-06,0.0001250171335414,0.989613890895323,1.906735633383505e-05,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,73,199,1.760738882694568e-06,0.0001616336521692,0.9891066070767812,2.508580291760154e-05,85,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,0,4.164618871982384e-07,0.0,,6.776305099265301e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,5,2.506806708879594e-07,9.90699291492092e-08,-1.5303406698758135,5.072719773124845e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,10,1.5247420037667325e-07,4.059011473600549e-07,0.6243563208225649,4.192097549093887e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,25,1.7972801913401781e-07,2.630274593684589e-06,0.9316694844083758,5.094776724945405e-07,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,50,7.87677890912164e-07,1.072301711246837e-05,0.9265432589866636,1.7657450825936394e-06,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,75,1.7588573655302753e-06,2.430160930089187e-05,0.927623831666748,4.239492682245327e-06,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,100,3.1678928280598484e-06,4.336205529398285e-05,0.9269432039929288,7.065254521876341e-06,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,125,5.0375629143673e-06,6.791073246859014e-05,0.9258208131285102,1.0288352314091752e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,149,7.278613338712603e-06,9.663699165685102e-05,0.9246808782649372,1.4512486814055592e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,175,1.0379532795923296e-05,0.0001334734115516,0.9222352026875056,2.104364102706313e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,reid,85,199,1.4109726180322468e-05,0.0001727537455735,0.9183246294690997,2.914088145189453e-05,60,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,0,1.0770119160952165e-06,0.0,,1.6092773194031906e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,5,8.049512985053298e-07,1.005318210900441e-07,-7.006930440306586,1.24146311009099e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,10,5.725039500248386e-07,4.115541969440528e-07,-0.3910779048686641,9.257294095732505e-07,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,25,2.3477598176668837e-07,2.6255513603246072e-06,0.9105803126480596,6.711010200888268e-07,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,50,3.9502478443864685e-07,1.0610699973767623e-05,0.9627710909350704,1.7247452888113912e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,75,9.10697849576536e-07,2.401239726168569e-05,0.962073847119394,3.692202426464064e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,100,1.611311290616868e-06,4.289457501727156e-05,0.9624355459876204,6.244264113774989e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,125,2.5712361093610525e-06,6.73249815008603e-05,0.9618085879558956,9.645853424444796e-06,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,149,3.918359652743675e-06,9.607322863303124e-05,0.9592148644477168,1.413323207088979e-05,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,175,6.17243586020777e-06,0.0001331570965703,0.9536454607438336,2.038111961155664e-05,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,99,199,9.348069397674408e-06,0.0001729730283841,0.9459564911073092,2.7226367819821465e-05,145,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,0,2.037725607806351e-06,0.0,,2.4519326871086378e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,5,1.618858163965342e-06,1.0263002536703425e-07,-14.773728576757566,2.1171213120396715e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,10,1.238631853084371e-06,4.336185099873546e-07,-1.8565013359796207,1.8439670839143216e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,25,7.403903055092087e-07,2.8988624762860127e-06,0.7445928147451176,1.5967743820510805e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,50,1.2741014643324888e-06,1.2047797099512536e-05,0.894246105424199,2.724211981330882e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,75,2.714578158702352e-06,2.75988695648266e-05,0.9016416903480008,5.339610197552247e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,100,4.763439392263535e-06,4.965141852153465e-05,0.9040623705403794,9.230132491211409e-06,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,125,7.45090483178501e-06,7.831659604562446e-05,0.9048617380223678,1.4440062841458712e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,149,1.075827003660379e-05,0.0001121514578699,0.9040737388444606,2.089009285555221e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,175,1.5246602742990945e-05,0.0001558988878969,0.9022019788038969,2.98424820357468e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,145,199,2.0346633391454816e-05,0.0002029132301686,0.8997274185889923,4.022792927571573e-05,7,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,0,1.4270942756411389e-06,0.0,,4.8117296813643406e-08,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,5,1.0883934464800404e-06,1.011753809621041e-07,-9.757492940774844,2.8622794800980955e-08,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,10,8.005030736057961e-07,4.158454487424024e-07,-0.9250014062355938,1.1093838736542241e-07,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,25,3.4990762287634425e-07,2.653020374054904e-06,0.8681097113696334,8.661775723339815e-07,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,50,5.294846801007225e-07,1.0714314157667104e-05,0.9505815610491666,3.2425718927697744e-06,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,75,1.4336386584545837e-06,2.4235781893366948e-05,0.9408461973802894,6.688111625408055e-06,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,100,3.00174133371911e-06,4.327576607465744e-05,0.930636898985436,1.1413781066949014e-05,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,125,5.4764941523899324e-06,6.790105544496328e-05,0.9193459642637092,1.7803968148655258e-05,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,149,9.08306992641883e-06,9.687045530881731e-05,0.9062348793813084,2.6007048290921372e-05,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,175,1.4824244317424018e-05,0.0001342045870842,0.8895399580632909,3.793795622186735e-05,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,7,199,2.2220539904083125e-05,0.0001742498279782,0.8724788416613936,5.26361727679614e-05,133,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,0,1.2412047567522677e-07,0.0,,3.0873293326294515e-06,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,5,6.384158268701867e-08,1.0488408719311337e-07,0.3913129780166454,2.7716750992112797e-06,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,10,5.3428266255650676e-08,4.206289361263771e-07,0.8729800504271579,2.529307039367268e-06,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,25,1.4944608039968446e-07,2.6371496915089665e-06,0.943330452237555,2.793905878206715e-06,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,50,2.671642107543448e-07,1.056383189279586e-05,0.9747095359462752,6.644999757554615e-06,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,75,3.6394050084709306e-07,2.3784537916071716e-05,0.9846984413936766,1.4995610399637371e-05,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,100,6.058963322175259e-07,4.23004494223278e-05,0.9856763618237656,2.7166550353285857e-05,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,125,9.515173928775766e-07,6.611568096559495e-05,0.9856082947497324,4.126600833842531e-05,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,149,1.3115943602315383e-06,9.396969107910992e-05,0.9860423680745384,5.6287793995579705e-05,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,175,1.732583427838108e-06,0.0001296565606025,0.9866371325925531,7.641412230441347e-05,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,133,199,2.282105924678035e-06,0.0001676967658568,0.9863914732462608,0.0001013799919746,198,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,0,1.995629645534791e-06,0.0,,1.3167649512979551e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,5,1.5670159427827457e-06,1.0731390176488277e-07,-13.602170986345904,1.0359555062677828e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,10,1.1706769100783276e-06,4.575125842620764e-07,-1.5587862505826289,8.152058512678195e-07,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,25,5.840112180521828e-07,3.006710130648571e-06,0.8057640435307919,6.68005384341086e-07,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,50,8.614620128355455e-07,1.2325030184001662e-05,0.9301046731752628,1.668475306360051e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,75,1.883168351923814e-06,2.8102962460252456e-05,0.9329903972014594,3.689093091452378e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,100,3.564064627425978e-06,5.048274033470079e-05,0.9294003335833948,6.568161097675329e-06,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,125,5.812175913888495e-06,7.960081711644307e-05,0.926983464184969,1.0386307621956805e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
train,depablo_low_temp,198,149,8.493993846059311e-06,0.0001140237072831,0.9255067735610176,1.5139189599722158e-05,99,1,1,same_source_cyclic_next_latent,False,r16_d2,3456456,4672434.zeus-master,completed
