variant,source,frame,mode,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
acceleration_transfer3,lj_noisy,100,constant_velocity,3,-0.7920252603341359,0.0,0.0813905880267752,20,20
acceleration_transfer3,lj_noisy,100,constant_velocity_recent,3,-0.5494003633061109,0.0,0.0775816875132033,20,20
acceleration_transfer3,lj_noisy,100,free_rollout,3,0.36959180748724546,0.003191514828287464,0.04701720796306106,20,20
acceleration_transfer3,lj_noisy,100,oracle_ae,3,0.410888997942638,0.0,0.04701895461515251,20,20
acceleration_transfer3,lj_noisy,100,teacher_forced,3,0.40994262099237105,4.4543265279284625e-06,0.0470695974137443,20,20
acceleration_transfer3,reid,10,constant_acceleration,3,0.7866447018383874,0.0,0.0673961348546545,20,20
acceleration_transfer3,reid,10,constant_latent,3,0.49766137791732507,0.0,0.1072263599143673,20,20
acceleration_transfer3,reid,10,constant_velocity,3,0.7355116557589433,0.0,0.0750523793630809,20,20
acceleration_transfer3,reid,10,constant_velocity_recent,3,0.7632317299147505,0.0,0.0710058646447688,20,20
acceleration_transfer3,reid,10,free_rollout,3,0.7637108473136488,8.619701367465089e-05,0.07098308024707374,20,20
acceleration_transfer3,reid,10,oracle_ae,3,0.7746953261652624,0.0,0.0696615539765041,20,20
acceleration_transfer3,reid,10,teacher_forced,3,0.7743520147672246,7.209950760795172e-06,0.06970494238755297,20,20
acceleration_transfer3,reid,25,constant_acceleration,3,0.926383023982138,0.0,0.0414109789442132,20,20
acceleration_transfer3,reid,25,constant_latent,3,0.4421828783819884,0.0,0.1207310827591564,20,20
acceleration_transfer3,reid,25,constant_velocity,3,0.8651486718438034,0.0,0.05339848703815111,20,20
acceleration_transfer3,reid,25,constant_velocity_recent,3,0.9062917438571542,0.0,0.04515092215532749,20,20
acceleration_transfer3,reid,25,free_rollout,3,0.9055444034049063,0.0007458845322300433,0.0462455135360399,20,20
acceleration_transfer3,reid,25,oracle_ae,3,0.9264548969315848,0.0,0.0414693854547865,20,20
acceleration_transfer3,reid,25,teacher_forced,3,0.926603078069252,4.966290393454482e-06,0.04143177739548707,20,20
acceleration_transfer3,reid,50,constant_acceleration,3,0.6195871878644374,0.0,0.0839845459450758,20,20
acceleration_transfer3,reid,50,constant_latent,3,0.41405027584442927,0.0,0.1264898269420251,20,20
acceleration_transfer3,reid,50,constant_velocity,3,0.9337731371426387,0.0,0.0373992318507136,20,20
acceleration_transfer3,reid,50,constant_velocity_recent,3,0.961457253918914,0.0,0.0285741428762952,20,20
acceleration_transfer3,reid,50,free_rollout,3,0.9576326800237068,0.00036950948174614234,0.030593556730365068,20,20
acceleration_transfer3,reid,50,oracle_ae,3,0.9772902704416241,0.0,0.022269009533983,20,20
acceleration_transfer3,reid,50,teacher_forced,3,0.9772342470868788,3.807799650392971e-07,0.0222920134830208,20,20
acceleration_transfer3,reid,75,constant_acceleration,3,0.159162946277972,0.0,0.1342972191834538,20,20
acceleration_transfer3,reid,75,constant_latent,3,0.39882488311442604,0.0,0.1299830203546618,20,20
acceleration_transfer3,reid,75,constant_velocity,3,0.949746520453655,0.0,0.0325747998260568,20,20
