source,probe,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,experiment,scope,seed,budget
lj_noisy,initial_pc1,20,20,20,-0.0140904306692026,0.0650982622612838,0.0053100823581802,latent_low_data,shared4,123,one_trajectory
lj_noisy,initial_z,20,20,20,-0.0430253935998807,0.0656933394256416,0.0053100823581802,latent_low_data,shared4,123,one_trajectory
lj_noisy,observed_prefix,20,20,20,-0.012369752429747,0.0656483408277762,0.0053100823581802,latent_low_data,shared4,123,one_trajectory
reid,constant,20,20,20,-0.0903461060575785,0.1780048784632208,0.0392619338029476,latent_low_data,shared4,123,one_trajectory
reid,initial_pc1,20,20,20,0.8555525501010212,0.0646961471507479,0.0392619338029476,latent_low_data,shared4,123,one_trajectory
reid,initial_z,20,20,20,0.8910493584342174,0.0524067147828288,0.0392619338029476,latent_low_data,shared4,123,one_trajectory
reid,observed_prefix,20,20,20,0.9627463070532074,0.0304328700780668,0.0392619338029476,latent_low_data,shared4,123,one_trajectory
depablo_low_temp,constant,20,20,20,-0.0225933853861557,0.3429981362017681,0.1309363081666797,latent_low_data,shared4,123,thirty_trajectories
depablo_low_temp,initial_pc1,20,20,20,-0.0070312103513441,0.3401716646624119,0.1309363081666797,latent_low_data,shared4,123,thirty_trajectories
depablo_low_temp,initial_z,20,20,20,0.8247530680521193,0.1194624693083862,0.1309363081666797,latent_low_data,shared4,123,thirty_trajectories
depablo_low_temp,observed_prefix,20,20,20,0.9563693674719792,0.062536331969755,0.1309363081666797,latent_low_data,shared4,123,thirty_trajectories
depablo_mixed_temp,constant,20,20,20,-0.0257357943474008,0.3235672229246395,0.1264354805514444,latent_low_data,shared4,123,thirty_trajectories
depablo_mixed_temp,initial_pc1,20,20,20,0.0007321169666016,0.3197785181168932,0.1264354805514444,latent_low_data,shared4,123,thirty_trajectories
depablo_mixed_temp,initial_z,20,20,20,0.8332324403371556,0.1138923559304723,0.1264354805514444,latent_low_data,shared4,123,thirty_trajectories
depablo_mixed_temp,observed_prefix,20,20,20,0.8215520725745294,0.1201305600697704,0.1264354805514444,latent_low_data,shared4,123,thirty_trajectories
lj_noisy,constant,20,20,20,-0.0138433359667873,0.0651860800538785,0.0053100823581802,latent_low_data,shared4,123,thirty_trajectories
lj_noisy,initial_pc1,20,20,20,-0.0619244300440227,0.0681497516141716,0.0053100823581802,latent_low_data,shared4,123,thirty_trajectories
lj_noisy,initial_z,20,20,20,-0.0703588204552212,0.068299929111599,0.0053100823581802,latent_low_data,shared4,123,thirty_trajectories
lj_noisy,observed_prefix,20,20,20,0.5086198856778468,0.0414952750321851,0.0053100823581802,latent_low_data,shared4,123,thirty_trajectories
