source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,experiment,scope,seed
reid,10,ae,20,4.098062117918744e-06,8.066666578088188e-06,1.2945780820672325e-07,20,20,0.0115147285468135,0.1448989779222756,0.0283570467788776,20,20,0.0121154910601988,0.1448502896337533,0.0283466184553629,0.004799887,0.00032082514,latent_low_data,shared4,123
reid,50,ae,20,2.015728921378468e-06,2.6829647907788967e-06,1.3484930192930733e-06,20,20,0.1067095414777681,0.159377936727833,0.0367468043569681,20,20,0.107075000234198,0.1593724277492512,0.03674579830514,0.00066771905,0.0012176036,latent_low_data,shared4,123
reid,100,ae,20,1.3404251330939588e-05,2.077671197184827e-05,6.031790371707757e-06,20,20,0.1621690556520799,0.1595536704466212,0.0392620598956476,20,20,0.162499387608425,0.159579182283947,0.0392619338029476,0.0054735444,0.0025083143,latent_low_data,shared4,123
depablo_low_temp,0,ae,20,1.0451102912156783e-05,2.0764585315191653e-05,1.376210242653997e-07,0,0,,,,0,0,,,,0.007321764,0.00029900984,latent_low_data,shared4,456
depablo_low_temp,10,ae,20,7.017885434379423e-06,1.3798878080706344e-05,2.3689270207682965e-07,20,20,-0.0803126406734862,0.2867023191880434,0.0884626710061093,20,20,-0.0801790251352665,0.2877471374885108,0.0890919672458267,0.0058250646,0.00048215114,latent_low_data,shared4,456
depablo_low_temp,50,ae,20,2.447796282467607e-06,1.4635250835226544e-06,3.432067464359534e-06,20,20,-0.1570283534428733,0.3389329427853226,0.1210184505747164,20,20,-0.1570173645175336,0.3402357006365389,0.121923909291221,0.0006927351,0.0025709553,latent_low_data,shared4,456
depablo_low_temp,100,ae,20,1.7664824372332078e-05,2.103032816194173e-05,1.4299320366717438e-05,20,20,-0.178585607667143,0.3523341552354395,0.1299516855584822,20,20,-0.1785761849671532,0.353702848960466,0.1309363081666797,0.0076296567,0.005289397,latent_low_data,shared4,456
depablo_mixed_temp,0,ae,20,1.0890059184021085e-05,2.163969256798737e-05,1.404253652026455e-07,0,0,,,,0,0,,,,0.0074600084,0.00029688998,latent_low_data,shared4,456
depablo_mixed_temp,10,ae,20,2.368542143358354e-05,3.0112408012428205e-05,1.7258436115241695e-05,20,20,-0.1426896553611902,0.991491183359176,3.0043239701009563,20,20,-0.0094207555440215,0.3709390326326359,0.1792210970466572,0.005999135,0.00095948775,latent_low_data,shared4,456
depablo_mixed_temp,50,ae,20,1.911761262078926e-05,1.7048140585984582e-05,2.118708530360891e-05,20,20,-0.041665953082477,0.3153147961245849,0.1274876421800012,20,20,-0.0428829045007661,0.3169236579696182,0.1290510646927359,0.0006297084,0.0023712001,latent_low_data,shared4,456
depablo_mixed_temp,100,ae,20,3.457154834904941e-05,3.698535438161344e-05,3.215774236764446e-05,20,20,-0.0976791826825138,0.3218131909146905,0.1249158133632106,20,20,-0.0991649151633387,0.323473746640838,0.1264354805514444,0.0073358314,0.0048232405,latent_low_data,shared4,456
lj_noisy,0,ae,20,2.0739981437145618e-06,4.08045231097276e-06,6.754391641550228e-08,0,0,,,,0,0,,,,0.0034438286,0.00030589325,latent_low_data,shared4,456
lj_noisy,10,ae,20,7.966283902760551e-07,1.522547768217919e-06,7.070902690031745e-08,20,20,-38.31076650858513,0.2884268671274185,0.0021694602859201,20,20,-38.56807405733117,0.2883400765126782,0.0021538442446725,0.0020607756,0.00021538627,latent_low_data,shared4,456
lj_noisy,50,ae,20,4.911528185402858e-06,6.491980911960127e-06,3.331075464529931e-06,20,20,-18.6500259264532,0.299764384701848,0.004814757143848,20,20,-18.83166570579576,0.2996469389951238,0.0047651600463273,0.0035138216,0.002389231,latent_low_data,shared4,456
lj_noisy,100,ae,20,3.24761127558304e-05,4.850742006965447e-05,1.6444805942228415e-05,20,20,-17.651688218727102,0.3083557426929474,0.0053832740143763,20,20,-17.880444162466034,0.3082063306128076,0.0053100823581802,0.010448805,0.0051945536,latent_low_data,shared4,456
reid,0,ae,20,7.231149970721162e-06,1.4362402089318491e-05,9.989827312040234e-08,0,0,,,,0,0,,,,0.006278121,0.00023682411,latent_low_data,shared4,456
reid,10,ae,20,4.404690298542846e-06,8.68457195792871e-06,1.2480865230202198e-07,20,20,0.0178775092957188,0.1452534391079098,0.0283570467788776,20,20,0.0179958997897269,0.1452336680886441,0.0283466184553629,0.004771528,0.00027540006,latent_low_data,shared4,456
reid,50,ae,20,2.0574706610432258e-06,2.797922053332513e-06,1.317019079039028e-06,20,20,-0.0209210305816067,0.1675388613715767,0.0367468043569681,20,20,-0.0208461733806359,0.1675260669948031,0.03674579830514,0.0012938839,0.0012816439,latent_low_data,shared4,456
reid,100,ae,20,2.0086566382815364e-05,3.431585237194668e-05,5.857280191889913e-06,20,20,-0.0336667678543463,0.1738073433749377,0.0392620598956476,20,20,-0.0336051821821405,0.1737910828461759,0.0392619338029476,0.008885806,0.00267783,latent_low_data,shared4,456
depablo_low_temp,0,ae,20,9.028677345668256e-06,1.8024512655756556e-05,3.2841599217903195e-08,0,0,,,,0,0,,,,0.0069472403,0.000255451,latent_low_data,shared4,786
depablo_low_temp,10,ae,20,5.858145300408069e-06,1.1586373511818238e-05,1.2991747238011446e-07,20,20,-0.0635753398434517,0.2855995570775121,0.0884626710061093,20,20,-0.0636659454060297,0.2866530506769885,0.0890919672458267,0.0054391515,0.00046851914,latent_low_data,shared4,786
depablo_low_temp,50,ae,20,2.4964421925233182e-06,1.6580102339958105e-06,3.3348741851568776e-06,20,20,-0.1403159376953981,0.3378062786534428,0.1210184505747164,20,20,-0.1404988155779307,0.3391164149438312,0.121923909291221,0.000822695,0.002560765,latent_low_data,shared4,786
depablo_low_temp,100,ae,20,1.9553160655050306e-05,2.4876520819816504e-05,1.4229800240173062e-05,20,20,-0.1623451711931502,0.3511804779991507,0.1299516855584822,20,20,-0.1625329534451758,0.3525586281787108,0.1309363081666797,0.008117001,0.00527913,latent_low_data,shared4,786
depablo_mixed_temp,0,ae,20,9.52620832777029e-06,1.9018202783627204e-05,3.4213930000248646e-08,0,0,,,,0,0,,,,0.0071080937,0.00026302657,latent_low_data,shared4,786
