split,source,sim_idx,frame,z0,z1,z2,z3
train,reid,8,90,6.645988464355469,-5.322025775909424,-0.20961511135101318,-1.6720465421676636
train,reid,8,100,7.127061367034912,-5.880090236663818,0.047291100025177,-2.023820638656616
train,reid,9,0,2.891608715057373,-0.590447187423706,-2.832575559616089,1.5784989595413208
train,reid,9,10,3.1753528118133545,-1.066316843032837,-2.458814859390259,1.1876113414764404
train,reid,9,20,3.4845516681671143,-1.560068130493164,-2.0892174243927,0.7926943302154541
train,reid,9,30,3.8161749839782715,-2.0715792179107666,-1.7203644514083862,0.39183977246284485
train,reid,9,40,4.168190002441406,-2.5992355346679688,-1.3522202968597412,-0.014384657144546509
train,reid,9,50,4.539165496826172,-3.1415491104125977,-0.9852767586708069,-0.4251617193222046
train,reid,9,60,4.927069187164307,-3.697187900543213,-0.6190686821937561,-0.8402798175811768
train,reid,9,70,5.328823566436768,-4.264466762542725,-0.25240224599838257,-1.2598284482955933
train,reid,9,80,5.743305683135986,-4.841772079467773,0.11367398500442505,-1.6826248168945312
train,reid,9,90,6.168167591094971,-5.427962779998779,0.48030030727386475,-2.1089138984680176
train,reid,9,100,6.603176116943359,-6.021936893463135,0.8461316227912903,-2.5375308990478516
train,reid,10,0,3.653085231781006,-0.8465226888656616,-3.3893885612487793,1.8040739297866821
train,reid,10,10,4.002599716186523,-1.3184679746627808,-3.1002087593078613,1.4636183977127075
train,reid,10,20,4.393303871154785,-1.8129398822784424,-2.827345371246338,1.1246092319488525
train,reid,10,30,4.8208723068237305,-2.330482006072998,-2.564815044403076,0.7834004163742065
train,reid,10,40,5.280759334564209,-2.8682918548583984,-2.311326026916504,0.4402357339859009
train,reid,10,50,5.76987361907959,-3.4244816303253174,-2.065948009490967,0.09524713456630707
train,reid,10,60,6.285312175750732,-3.9966187477111816,-1.8287913799285889,-0.25063908100128174
train,reid,10,70,6.822862148284912,-4.583003520965576,-1.5973069667816162,-0.598297119140625
train,reid,10,80,7.380438804626465,-5.18144416809082,-1.3722256422042847,-0.9465241432189941
train,reid,10,90,7.953829288482666,-5.790230751037598,-1.151009440422058,-1.2961883544921875
train,reid,10,100,8.540884971618652,-6.407201290130615,-0.9342814683914185,-1.6461622714996338
train,reid,11,0,0.24497199058532715,0.28565412759780884,-0.8351438641548157,0.7461249232292175
train,reid,11,10,-0.010697143152356148,-0.004005297087132931,-0.09520301222801208,0.21241721510887146
train,reid,11,20,-0.33032873272895813,-0.2614479959011078,0.6730439066886902,-0.325480580329895
train,reid,11,30,-0.62697434425354,-0.5152960419654846,1.408348560333252,-0.8427256941795349
train,reid,11,40,-0.8870338797569275,-0.771316647529602,2.1029040813446045,-1.3369157314300537
train,reid,11,50,-1.1001396179199219,-1.0345311164855957,2.751699447631836,-1.8070015907287598
train,reid,11,60,-1.2575268745422363,-1.309028148651123,3.3502748012542725,-2.2519407272338867
train,reid,11,70,-1.3534866571426392,-1.5980547666549683,3.8965723514556885,-2.6717758178710938
train,reid,11,80,-1.3844512701034546,-1.9037741422653198,4.389484405517578,-3.066711664199829
train,reid,11,90,-1.3489282131195068,-2.2262306213378906,4.827301025390625,-3.435837984085083
train,reid,11,100,-1.2477670907974243,-2.5662715435028076,5.212259292602539,-3.780803680419922
train,reid,12,0,3.6074461936950684,-0.8365174531936646,-3.3516273498535156,1.787185549736023
train,reid,12,10,4.00177526473999,-1.3209197521209717,-3.0970921516418457,1.462186574935913
train,reid,12,20,4.459201335906982,-1.836296796798706,-2.872746467590332,1.1437499523162842
train,reid,12,30,4.961977005004883,-2.381051778793335,-2.659742832183838,0.8215842247009277
train,reid,12,40,5.503513336181641,-2.949892520904541,-2.4580440521240234,0.4975467026233673
train,reid,12,50,6.078125,-3.539363384246826,-2.26593279838562,0.17185842990875244
train,reid,12,60,6.679934024810791,-4.1451239585876465,-2.0827877521514893,-0.1543002426624298
train,reid,12,70,7.3024187088012695,-4.763055324554443,-1.9068669080734253,-0.48050081729888916
train,reid,12,80,7.9445013999938965,-5.391069412231445,-1.7399424314498901,-0.8049848675727844
train,reid,12,90,8.60009479522705,-6.024935245513916,-1.58095383644104,-1.1268703937530518
train,reid,12,100,9.26674747467041,-6.663312911987305,-1.4289188385009766,-1.4462672472000122
train,reid,13,0,-0.9771755933761597,0.7402843236923218,-0.04983409494161606,0.46754348278045654
train,reid,13,10,-1.077390432357788,0.37578344345092773,0.6155977845191956,-0.050133682787418365
train,reid,13,20,-1.1911072731018066,0.03643059358000755,1.2596893310546875,-0.5462977886199951
train,reid,13,30,-1.275900959968567,-0.29177483916282654,1.8525700569152832,-1.008657455444336
train,reid,13,40,-1.321592092514038,-0.611059308052063,2.3852498531341553,-1.4327425956726074
train,reid,13,50,-1.3205944299697876,-0.9247221946716309,2.8534841537475586,-1.8172192573547363
train,reid,13,60,-1.2685214281082153,-1.2367225885391235,3.2578036785125732,-2.1637797355651855
train,reid,13,70,-1.161115050315857,-1.5521196126937866,3.6006593704223633,-2.475635528564453
train,reid,13,80,-0.9971232414245605,-1.87498140335083,3.886552333831787,-2.756814956665039
train,reid,13,90,-0.7755506634712219,-2.2106597423553467,4.122235298156738,-3.0131099224090576
train,reid,13,100,-0.4971424639225006,-2.563016653060913,4.314399242401123,-3.249736785888672
train,reid,14,0,0.11112666875123978,0.34636610746383667,-0.7877140641212463,0.7446950674057007
train,reid,14,10,0.0021279267966747284,0.0027820279356092215,-0.14331455528736115,0.24683402478694916
train,reid,14,20,-0.13208261132240295,-0.31538626551628113,0.493459016084671,-0.23726436495780945
train,reid,14,30,-0.2564087510108948,-0.6135655641555786,1.088479995727539,-0.6898583173751831
train,reid,14,40,-0.3666022717952728,-0.8942724466323853,1.6403471231460571,-1.1110503673553467
train,reid,14,50,-0.4607087969779968,-1.1613554954528809,2.152446746826172,-1.5041981935501099
train,reid,14,60,-0.5376861691474915,-1.4182041883468628,2.628591775894165,-1.8727357387542725
train,reid,14,70,-0.5967277884483337,-1.6681890487670898,3.0728368759155273,-2.220245122909546
train,reid,14,80,-0.6358003616333008,-1.9138238430023193,3.4865188598632812,-2.548412799835205
train,reid,14,90,-0.6555125713348389,-2.1584606170654297,3.8753514289855957,-2.861769437789917
train,reid,14,100,-0.6545692682266235,-2.403355360031128,4.239678382873535,-3.1609654426574707
train,reid,15,0,1.2428600788116455,-0.04976717382669449,-1.598193883895874,1.0671430826187134
train,reid,15,10,1.221147060394287,-0.3900781571865082,-1.0622600317001343,0.6327123045921326
train,reid,15,20,1.1716901063919067,-0.6971728205680847,-0.542813777923584,0.21989670395851135
train,reid,15,30,1.1239407062530518,-0.9932352304458618,-0.0417928509414196,-0.17833466827869415
train,reid,15,40,1.0786011219024658,-1.279622197151184,0.4420020580291748,-0.5631541609764099
train,reid,15,50,1.035696268081665,-1.5575472116470337,0.9103447198867798,-0.9360235333442688
train,reid,15,60,0.9948989152908325,-1.8280448913574219,1.3651574850082397,-1.2984131574630737
train,reid,15,70,0.9561144113540649,-2.0909676551818848,1.806336522102356,-1.6502089500427246
train,reid,15,80,0.9193903207778931,-2.347702741622925,2.2358789443969727,-1.9930591583251953
train,reid,15,90,0.8842617273330688,-2.5982184410095215,2.6543004512786865,-2.327241897583008
train,reid,15,100,0.8498768210411072,-2.842644453048706,3.0628035068511963,-2.6534950733184814
train,reid,16,0,2.622354507446289,-0.4792434573173523,-2.676745891571045,1.5298906564712524
train,reid,16,10,2.7976162433624268,-0.919700026512146,-2.227325677871704,1.1088371276855469
