source,frame,mode,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,latent_mse,normalized_latent_mse
depablo_low_temp,25,constant_velocity_recent,20,20,20,0.9622308304131941,0.054438648309710305,0.1113451632350467,3.2398411420331286e-07,0.0007969791535288095,0.00014995084202382714,0.0024240483675384895,0.0010013260747655296
depablo_low_temp,25,free_rollout,20,20,20,0.9652871505616096,0.05224926600419801,0.1113451632350467,3.156075862875696e-07,0.0007886153180152178,0.00013910053603467533,0.0009176244093168862,0.00042763019482094933
depablo_low_temp,25,oracle_ae,20,20,20,0.9591294831389195,0.05630021034870046,0.1113451632350467,3.166228566442442e-07,0.0007983719697222114,0.00012379746331134812,0.0,0.0
depablo_low_temp,25,teacher_forced,20,20,20,0.959101808073944,0.056310989462157936,0.1113451632350467,3.166358276018855e-07,0.0007984678028151393,0.00012380702391965315,2.5979185069857636e-08,1.2056559406392609e-08
depablo_low_temp,50,constant_acceleration,20,20,20,0.6275380906465061,0.15893928987577086,0.12192390929122102,1.8546871920932517e-06,0.0010593772516585887,0.0012291446008021012,0.5304980626155157,0.26070039473997897
depablo_low_temp,50,constant_latent,20,20,20,0.4915808571469499,0.21625682987217204,0.12192390929122102,7.763420012452115e-06,0.005812970246188343,0.0023392351547954606,2.8419581711292268,1.224056777358055
depablo_low_temp,50,constant_velocity,20,20,20,0.9836942529303571,0.037807579264005256,0.12192390929122102,8.792815570757285e-07,0.0009516897378489375,0.00034885945788118986,0.07274480881169439,0.030798718519508838
depablo_low_temp,50,constant_velocity_recent,20,20,20,0.9768955640018231,0.04546624605910432,0.12192390929122102,8.479432167973755e-07,0.0009228459093719721,0.00016949694108916446,0.0369720749091357,0.013108596624806523
depablo_low_temp,50,free_rollout,20,20,20,0.9875410952957894,0.03160374531393952,0.12192390929122102,7.801740721902207e-07,0.0007444201502949,0.0001439637169823982,0.005355515348855988,0.002410316057103046
depablo_low_temp,50,oracle_ae,20,20,20,0.9823999678167132,0.03769467148177365,0.12192390929122102,7.934832638056832e-07,0.0007862685713917017,0.00015460892318515108,0.0,0.0
depablo_low_temp,50,teacher_forced,20,20,20,0.9823894978196422,0.03770441453751185,0.12192390929122102,7.934479128834937e-07,0.0007863190257921815,0.00015456781984539701,4.546622383583276e-08,2.1313256595711928e-08
depablo_low_temp,75,constant_acceleration,20,20,20,0.5774776888126085,0.1789884675717533,0.1271388104990921,8.248390363974067e-06,0.0014533199369907378,0.0027573704050155357,3.3226360682630913,1.6317527270177379
depablo_low_temp,75,constant_latent,20,20,20,0.472814191712034,0.22329181608113435,0.1271388104990921,2.0168348328297725e-05,0.009577407781034709,0.0036858381907222794,7.105490231513977,3.019649851322174
depablo_low_temp,75,constant_velocity,20,20,20,0.9873053735481184,0.03357129085201358,0.1271388104990921,1.7923226437233097e-06,0.0011440033558756113,0.0003649303806014359,0.27059984132647513,0.10401768991723656
depablo_low_temp,75,constant_velocity_recent,20,20,20,0.9547371652812822,0.06414665909025241,0.1271388104990921,1.8508991630028504e-06,0.0011952083557844162,0.0003139633103273809,0.1932061415165663,0.06560512920841574
depablo_low_temp,75,free_rollout,20,20,20,0.9886962454373363,0.02961730204335843,0.1271388104990921,1.6637115891171562e-06,0.0007153925485908985,0.00019717029645107686,0.02193905542662833,0.01006424424413126
depablo_low_temp,75,oracle_ae,20,20,20,0.9847444677956709,0.03360651975998493,0.1271388104990921,1.6726795053045862e-06,0.0007203751243650913,0.0002219608169980347,0.0,0.0
depablo_low_temp,75,teacher_forced,20,20,20,0.984753904728413,0.03360296985574943,0.1271388104990921,1.6726549546319801e-06,0.000720464950427413,0.00022186020796652884,4.10882050383421e-08,1.9476643471627586e-08
depablo_low_temp,100,constant_acceleration,20,20,20,0.5900109402000839,0.17776325786683594,0.1309363081666797,2.0351665713747025e-05,0.002240774570964277,0.004118848498910666,11.648710638284683,5.717796930670739
depablo_low_temp,100,constant_latent,20,20,20,0.4590516901948195,0.22831594987610723,0.1309363081666797,3.85191186069278e-05,0.013340011844411493,0.005057637594291009,13.456680297851562,5.642951965332031
depablo_low_temp,100,constant_velocity,20,20,20,0.9712368050832222,0.05341794074815036,0.1309363081666797,3.4959060627670625e-06,0.0017827983014285565,0.0005396989668952301,0.7486225917935372,0.2732979040592909
