kind,dimension,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
rollout,2,depablo_mixed_temp,50,5,0.5739229559991921,0.015405702346312002,0.1700773887215396,20,20
rollout,2,depablo_mixed_temp,75,5,0.7317093041776986,0.06213045175614003,0.12930643844152973,20,20
rollout,2,depablo_mixed_temp,100,5,0.9041634848003035,0.011560380002990641,0.08840769325179866,20,20
rollout,2,lj_noisy,5,5,-42.071990217635026,25.595405359517542,0.20120694122141805,20,20
rollout,2,lj_noisy,10,5,-24.43678025625052,13.225569915623641,0.21193646270929375,20,20
rollout,2,lj_noisy,25,5,-14.14289621630245,5.4737675451169,0.23118546011261326,20,20
rollout,2,lj_noisy,50,5,-13.246651790384693,4.18784677467037,0.24182000623297087,20,20
rollout,2,lj_noisy,75,5,-11.991465486510437,3.8792044445873994,0.23605561213264012,20,20
rollout,2,lj_noisy,100,5,-10.548834757187858,3.5050074138942935,0.22402411203903433,20,20
rollout,2,reid,5,5,-0.5627318628961339,0.6908665650718996,0.1547924970509595,20,20
rollout,2,reid,10,5,-0.053112730641321916,0.4781216465676138,0.14443334063817442,20,20
rollout,2,reid,25,5,0.4225619008819015,0.35846409733538365,0.11552759185137582,20,20
rollout,2,reid,50,5,0.6935321382084467,0.16039421182382818,0.08886094643523572,20,20
rollout,2,reid,75,5,0.7736016325013403,0.09317186943007423,0.07753392813519502,20,20
rollout,2,reid,100,5,0.8141622016593398,0.044450137956444306,0.07112670295275524,20,20
rollout,4,depablo_low_temp,5,5,0.3144144029495123,0.17956230539100648,0.1652315853420354,20,20
rollout,4,depablo_low_temp,10,5,0.6035132576844473,0.10754448539534682,0.15289704174915333,20,20
rollout,4,depablo_low_temp,25,5,0.7947426523317637,0.07426373909115178,0.12167193406681845,20,20
rollout,4,depablo_low_temp,50,5,0.8824666381486882,0.04431855016097301,0.09790417414104033,20,20
rollout,4,depablo_low_temp,75,5,0.9116057073778382,0.03754335071918987,0.08581413550053722,20,20
rollout,4,depablo_low_temp,100,5,0.9232096387129463,0.03556841196572772,0.08093714638152788,20,20
rollout,4,depablo_mixed_temp,5,5,0.04074140089774912,0.05172096652655223,0.3606137654515099,20,20
rollout,4,depablo_mixed_temp,10,5,0.22143400181689793,0.1259528100968356,0.26441231419664357,20,20
rollout,4,depablo_mixed_temp,25,5,0.32082830786199057,0.08163994461341796,0.24758540087021225,20,20
rollout,4,depablo_mixed_temp,50,5,0.5060999424031272,0.07150340501622052,0.1897513789850979,20,20
rollout,4,depablo_mixed_temp,75,5,0.6781396895736502,0.03360901244355803,0.15806533686592683,20,20
rollout,4,depablo_mixed_temp,100,5,0.8767632817849382,0.041550341912747576,0.10306994005122565,20,20
rollout,4,lj_noisy,5,5,-21.420666692293263,8.96978727016267,0.13593878421527256,20,20
rollout,4,lj_noisy,10,5,-12.655392038733641,5.070563066215167,0.14613949485924146,20,20
rollout,4,lj_noisy,25,5,-8.808058221568473,3.3978424570837684,0.17600003418671437,20,20
rollout,4,lj_noisy,50,5,-9.057668539835028,2.965912638556261,0.19494912692435107,20,20
rollout,4,lj_noisy,75,5,-8.56170202064572,2.543343583552371,0.19582892319958328,20,20
rollout,4,lj_noisy,100,5,-8.219451503986864,2.619104862065849,0.19511778512964584,20,20
rollout,4,reid,5,5,-4.088098794022828,1.876391255293896,0.2742525663190273,20,20
rollout,4,reid,10,5,-1.3887987669743946,0.8322655325198124,0.22267302829440233,20,20
rollout,4,reid,25,5,-0.004598639153113937,0.3346050397212398,0.15168067750286932,20,20
rollout,4,reid,50,5,0.5218519567843465,0.15814989992964004,0.10761682566367285,20,20
rollout,4,reid,75,5,0.6642944391900276,0.10118114518374177,0.09141142648772066,20,20
rollout,4,reid,100,5,0.6982555933002846,0.0836437225288392,0.08756553735345254,20,20
