source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,kind,dimension,seed
depablo_mixed_temp,50,20,20,0.6705657421535671,0.1285198575330449,0.1290510646927359,ae,2,2026
depablo_mixed_temp,75,20,20,0.9503096461235532,0.074964711001027,0.1721180025747532,ae,2,2026
depablo_mixed_temp,100,20,20,0.878784546870062,0.0784940250418837,0.1264354805514444,ae,2,2026
lj_noisy,5,20,20,-39.11910368250662,0.2108474879257504,0.0012192600578043,ae,2,2026
lj_noisy,10,20,20,-13.357956828848389,0.1654449090388614,0.0021538442446725,ae,2,2026
lj_noisy,25,20,20,-2.045676183303747,0.0951531031274181,0.0041168599721615,ae,2,2026
lj_noisy,50,20,20,-0.2541623927179823,0.0615074038053829,0.0047651600463273,ae,2,2026
lj_noisy,75,20,20,0.0181084019345163,0.0538846795419751,0.0050961142073924,ae,2,2026
lj_noisy,100,20,20,-0.1679488537649391,0.0594674740154169,0.0053100823581802,ae,2,2026
reid,5,20,20,0.2571731991866383,0.1143073200120064,0.0215407678341569,rollout,2,2026
reid,10,20,20,0.6122274693154126,0.0917494709056247,0.0283466184553629,rollout,2,2026
reid,25,20,20,0.7226386537135122,0.08210024237424,0.0340742914742546,rollout,2,2026
reid,50,20,20,0.7634560074978347,0.0781155329094796,0.03674579830514,rollout,2,2026
reid,75,20,20,0.7754009255783715,0.0771921407874474,0.0381454871288846,rollout,2,2026
reid,100,20,20,0.7637887064162409,0.0814028566428191,0.0392619338029476,rollout,2,2026
depablo_low_temp,5,20,20,0.6256612303511966,0.1356892253022245,0.0635535199374179,rollout,2,2026
depablo_low_temp,10,20,20,0.7140452360582907,0.1339181816603128,0.0890919672458267,rollout,2,2026
depablo_low_temp,25,20,20,0.8047293939061834,0.1197507079223708,0.1113451632350467,rollout,2,2026
depablo_low_temp,50,20,20,0.8983902152486066,0.0903677226739851,0.121923909291221,rollout,2,2026
depablo_low_temp,75,20,20,0.9346531491793753,0.0737468777887053,0.1271388104990921,rollout,2,2026
depablo_low_temp,100,20,20,0.947631789991193,0.0675329034544072,0.1309363081666797,rollout,2,2026
depablo_mixed_temp,5,20,20,0.1088718909111562,0.3672553163945887,0.2267994575756468,rollout,2,2026
depablo_mixed_temp,10,20,20,0.2912940817432127,0.2736354684855957,0.1792210970466572,rollout,2,2026
depablo_mixed_temp,25,20,20,0.3859632415625654,0.240452032070539,0.1814265265332104,rollout,2,2026
depablo_mixed_temp,50,20,20,0.5949184951159447,0.1773351363980537,0.1290510646927359,rollout,2,2026
depablo_mixed_temp,75,20,20,0.7269646644641303,0.1337992320638958,0.1721180025747532,rollout,2,2026
depablo_mixed_temp,100,20,20,0.9082354220784414,0.088959915416521,0.1264354805514444,rollout,2,2026
lj_noisy,5,20,20,-73.81038856399398,0.2936663599002246,0.0012192600578043,rollout,2,2026
lj_noisy,10,20,20,-43.29125114734667,0.3000525654328422,0.0021538442446725,rollout,2,2026
lj_noisy,25,20,20,-22.896377438684063,0.3025510883717615,0.0041168599721615,rollout,2,2026
lj_noisy,50,20,20,-18.572562673750237,0.2931788977053051,0.0047651600463273,rollout,2,2026
lj_noisy,75,20,20,-16.398760890375982,0.2834028527949109,0.0050961142073924,rollout,2,2026
lj_noisy,100,20,20,-14.93696353963271,0.2745317482786558,0.0053100823581802,rollout,2,2026
reid,5,20,20,-5.231368642488949,0.3410947609721481,0.0215407678341569,ae,4,3456456
reid,10,20,20,-2.032062357491252,0.2651810209413522,0.0283466184553629,ae,4,3456456
reid,25,20,20,0.2633578742652561,0.1323628271940577,0.0340742914742546,ae,4,3456456
reid,50,20,20,0.8468860913235934,0.0596281601622944,0.03674579830514,ae,4,3456456
reid,75,20,20,0.912261188671022,0.0487579779790475,0.0381454871288846,ae,4,3456456
reid,100,20,20,0.8957311661604241,0.0523612078872584,0.0392619338029476,ae,4,3456456
depablo_low_temp,5,20,20,0.2549894751586389,0.1824815767151585,0.0635535199374179,ae,4,3456456
depablo_low_temp,10,20,20,0.6421914633868687,0.1565098794468792,0.0890919672458267,ae,4,3456456
depablo_low_temp,25,20,20,0.8677056391170951,0.103310262200553,0.1113451632350467,ae,4,3456456
depablo_low_temp,50,20,20,0.9534602623529476,0.0655640648647411,0.121923909291221,ae,4,3456456
