split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5,z6,z7
train,reid,5,10,-1.4411982297897339,1.5873537063598633,-0.4563290476799011,-0.5669028759002686,-1.092232584953308,-0.20297634601593018,-1.5688891410827637,-1.127129077911377
train,reid,5,20,-1.4865684509277344,1.4574259519577026,-1.53230619430542,0.08385338634252548,-0.9163711071014404,0.49815207719802856,-1.1397572755813599,-0.8301165699958801
train,reid,5,30,-1.6274148225784302,1.4444646835327148,-2.713623046875,0.7171016335487366,-0.812301754951477,1.2124983072280884,-0.8076324462890625,-0.5968185663223267
train,reid,5,40,-1.855971097946167,1.5340633392333984,-4.018266201019287,1.3513143062591553,-0.7687055468559265,1.9569063186645508,-0.5522885322570801,-0.4137214124202728
train,reid,5,50,-2.167062997817993,1.7145622968673706,-5.469144344329834,2.005918025970459,-0.7759271860122681,2.7500438690185547,-0.35518184304237366,-0.268429696559906
train,reid,5,60,-2.555527687072754,1.9729176759719849,-7.096893310546875,2.7052969932556152,-0.8227384090423584,3.6158440113067627,-0.19416490197181702,-0.14606229960918427
train,reid,5,70,-3.0229036808013916,2.3036916255950928,-8.942673683166504,3.474710464477539,-0.9024513363838196,4.581336975097656,-0.05247341841459274,-0.035244379192590714
train,reid,5,80,-3.5744881629943848,2.7045364379882812,-11.060124397277832,4.344115734100342,-1.0095491409301758,5.67974853515625,0.08670469373464584,0.07552278786897659
train,reid,5,90,-4.220703601837158,3.177633285522461,-13.517882347106934,5.348606109619141,-1.1405680179595947,6.951380729675293,0.23931168019771576,0.19729655981063843
train,reid,5,100,-4.979249954223633,3.73205828666687,-16.403627395629883,6.5290846824646,-1.2953842878341675,8.445019721984863,0.4189547598361969,0.3397076427936554
train,reid,6,0,-1.2402055263519287,1.5164024829864502,0.7618524432182312,-1.1709165573120117,-1.138527512550354,-0.9037494659423828,-1.8170785903930664,-1.3067448139190674
train,reid,6,10,-1.1182419061660767,1.211573600769043,0.04246491566300392,-0.6008546948432922,-0.871606707572937,-0.342693954706192,-1.2961543798446655,-0.952324628829956
train,reid,6,20,-1.0780259370803833,1.0129082202911377,-0.7422693967819214,-0.06195618584752083,-0.6717700362205505,0.21345824003219604,-0.8706201314926147,-0.6603118777275085
train,reid,6,30,-1.1206303834915161,0.9173942804336548,-1.613869547843933,0.4588313400745392,-0.5354990363121033,0.7784634828567505,-0.5317040681838989,-0.42484959959983826
train,reid,6,40,-1.2484320402145386,0.9228965044021606,-2.602047920227051,0.9785740971565247,-0.4590533971786499,1.3709955215454102,-0.2691761553287506,-0.23895898461341858
train,reid,6,50,-1.4602999687194824,1.0232247114181519,-3.731538772583008,1.5141777992248535,-0.43622827529907227,2.0085039138793945,-0.06970444321632385,-0.09361593425273895
train,reid,6,60,-1.7557117938995361,1.2133045196533203,-5.025561332702637,2.081028938293457,-0.46173033118247986,2.7070040702819824,0.07838252186775208,0.01916184090077877
train,reid,6,70,-2.1348876953125,1.489709496498108,-6.504147529602051,2.6917715072631836,-0.5316270589828491,3.4798831939697266,0.18413780629634857,0.10561852157115936
