source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
reid,calibration,24,55,0.27125756726885086,-2.763686180114746,-4.173619747161865,-2.7642247676849365,-4.174971580505371,-2.7663111686706543,-4.180212497711182
reid,calibration,25,82,-0.07218477062664293,-2.7963762283325195,-4.225495338439941,-2.7972633838653564,-4.22745418548584,-2.8012187480926514,-4.236196994781494
reid,calibration,26,34,0.2423286065533074,-2.764558792114258,-4.175020694732666,-2.7653119564056396,-4.176695823669434,-2.7681996822357178,-4.183132648468018
reid,calibration,27,23,-0.31124485724577994,-2.817089557647705,-4.257222652435303,-2.8178904056549072,-4.259047508239746,-2.8220913410186768,-4.268630027770996
reid,calibration,28,94,0.16401048126396411,-2.786288261413574,-4.210336685180664,-2.787163257598877,-4.212228298187256,-2.7905824184417725,-4.2196269035339355
reid,calibration,29,75,0.1204822732587641,-2.7989919185638428,-4.227025032043457,-2.7997732162475586,-4.228768825531006,-2.802896738052368,-4.23576545715332
depablo_low_temp,calibration,1,145,-0.4569532518665687,-2.8935108184814453,-4.3682169914245605,-2.894026756286621,-4.369384765625,-2.895522117614746,-4.372652053833008
depablo_low_temp,calibration,2,7,-0.09727260084400499,-2.9064748287200928,-4.389715671539307,-2.9069716930389404,-4.390881538391113,-2.9086897373199463,-4.394750118255615
depablo_low_temp,calibration,3,133,0.3439682334342666,-2.9098472595214844,-4.403266906738281,-2.9106123447418213,-4.404876232147217,-2.9135515689849854,-4.411056041717529
depablo_low_temp,calibration,4,198,-0.3206296495113327,-2.8934214115142822,-4.368596076965332,-2.89395809173584,-4.3698248863220215,-2.895597457885742,-4.3734331130981445
depablo_low_temp,calibration,5,13,0.3636117579426061,-2.9125142097473145,-4.4063544273376465,-2.913079261779785,-4.407665729522705,-2.915273666381836,-4.412753582000732
depablo_low_temp,calibration,6,21,-0.11422681948022362,-2.9013352394104004,-4.386369705200195,-2.902024507522583,-4.387876987457275,-2.904463768005371,-4.393105506896973
depablo_low_temp,calibration,7,107,-0.4553419205041738,-2.896723747253418,-4.372652053833008,-2.8973474502563477,-4.3739848136901855,-2.899214506149292,-4.377772331237793
depablo_low_temp,calibration,8,14,-0.020264705234645113,-2.9136452674865723,-4.403741836547852,-2.9144468307495117,-4.405409336090088,-2.917194366455078,-4.411092281341553
depablo_low_temp,calibration,9,77,0.1607695438424218,-2.908656597137451,-4.399581432342529,-2.9094507694244385,-4.40128755569458,-2.912515640258789,-4.407842636108398
depablo_low_temp,calibration,10,130,0.13037281540664314,-2.9061005115509033,-4.396465301513672,-2.9067602157592773,-4.397972106933594,-2.909242868423462,-4.403597831726074
depablo_low_temp,calibration,11,50,0.3691857783976515,-2.906951665878296,-4.39855432510376,-2.907534122467041,-4.399873733520508,-2.90971302986145,-4.4048051834106445
depablo_low_temp,calibration,12,85,-0.5044309215854138,-2.8863613605499268,-4.357082366943359,-2.8869667053222656,-4.358377456665039,-2.8885531425476074,-4.361692428588867
depablo_low_temp,calibration,13,104,-0.2084327188950511,-2.906615734100342,-4.389679431915283,-2.907303810119629,-4.391148090362549,-2.9096293449401855,-4.395981311798096
depablo_low_temp,calibration,14,55,0.23776199413847313,-2.916581869125366,-4.411632537841797,-2.91743803024292,-4.413403034210205,-2.9206974506378174,-4.4201273918151855
depablo_low_temp,calibration,15,54,-0.4149092808456947,-2.9057817459106445,-4.387261390686035,-2.9063966274261475,-4.388583183288574,-2.9082629680633545,-4.392393112182617
depablo_low_temp,calibration,16,147,-0.45508805028712523,-2.8972551822662354,-4.375402450561523,-2.897942066192627,-4.376863956451416,-2.899895191192627,-4.380903244018555
depablo_low_temp,calibration,17,117,0.1594724535638284,-2.899629831314087,-4.38743782043457,-2.9004547595977783,-4.389186382293701,-2.903614044189453,-4.395843029022217
depablo_low_temp,calibration,18,3,-0.5089574496506146,-2.886756420135498,-4.35761022567749,-2.887333869934082,-4.358857154846191,-2.888861894607544,-4.3620171546936035
depablo_low_temp,calibration,19,67,-0.0018257140201558828,-2.912025213241577,-4.402459621429443,-2.912796974182129,-4.404104232788086,-2.9155986309051514,-4.410029888153076
depablo_low_temp,calibration,20,151,-0.43250460298528204,-2.91473650932312,-4.399694919586182,-2.9154229164123535,-4.401121139526367,-2.917313575744629,-4.405036926269531
depablo_low_temp,calibration,21,79,0.16588096190370036,-2.920992612838745,-4.416232109069824,-2.9217758178710938,-4.417877674102783,-2.9246973991394043,-4.423985481262207
depablo_low_temp,calibration,22,160,0.13098382595067665,-2.9091408252716064,-4.39988899230957,-2.909860610961914,-4.401471138000488,-2.912587881088257,-4.407411098480225
depablo_low_temp,calibration,23,12,0.20621044042079262,-2.905832290649414,-4.396283149719238,-2.9066808223724365,-4.398053169250488,-2.9099044799804688,-4.404757022857666
depablo_low_temp,calibration,24,157,0.3456222726247795,-2.9123833179473877,-4.406458854675293,-2.9130802154541016,-4.407956600189209,-2.9156782627105713,-4.413544654846191
depablo_low_temp,calibration,25,171,0.13090063946846645,-2.9080312252044678,-4.3976521492004395,-2.9086685180664062,-4.399110794067383,-2.911087989807129,-4.404597759246826
depablo_low_temp,calibration,26,153,-0.02841312250886952,-2.905679941177368,-4.393803596496582,-2.906494379043579,-4.3955183029174805,-2.909334421157837,-4.401467800140381
depablo_low_temp,calibration,27,59,-0.24449245701211883,-2.91451096534729,-4.404275417327881,-2.9150352478027344,-4.405487060546875,-2.916825294494629,-4.409343719482422
depablo_low_temp,calibration,28,102,-0.3849155395146667,-2.904045820236206,-4.38664436340332,-2.9047276973724365,-4.388084411621094,-2.906787633895874,-4.39230489730835
depablo_low_temp,calibration,29,69,0.3421232945503728,-2.9068541526794434,-4.399251937866211,-2.907540798187256,-4.400761127471924,-2.9102184772491455,-4.406644821166992
depablo_mixed_temp,calibration,1,229,-0.2598863321319656,-2.9104795455932617,-4.395891189575195,-2.9569461345672607,-4.479654312133789,-2.943441390991211,-4.45310115814209
depablo_mixed_temp,calibration,2,145,-0.6224878167104015,-2.8935701847076416,-4.368346214294434,-2.8882436752319336,-4.3509368896484375,-2.897327184677124,-4.3683552742004395
depablo_mixed_temp,calibration,3,265,-0.8210172915377447,-2.900480031967163,-4.379184722900391,-3.079230546951294,-4.68782901763916,-3.0719778537750244,-4.674444675445557
depablo_mixed_temp,calibration,4,234,0.2543584606623625,-2.9024314880371094,-4.3909454345703125,-2.9377026557922363,-4.453535556793213,-2.9334568977355957,-4.445918083190918
depablo_mixed_temp,calibration,5,231,-0.333676506988695,-2.9097578525543213,-4.393961429595947,-2.9852819442749023,-4.528483867645264,-2.9741551876068115,-4.507474899291992
depablo_mixed_temp,calibration,6,290,0.05570942435230156,-2.913635492324829,-4.407476425170898,-2.964871644973755,-4.4959306716918945,-2.932629346847534,-4.435975074768066
depablo_mixed_temp,calibration,7,133,0.2650048017088054,-2.9114439487457275,-4.405390739440918,-2.9153003692626953,-4.411345958709717,-2.91812801361084,-4.417047023773193
depablo_mixed_temp,calibration,8,198,-0.08896035999214302,-2.8910117149353027,-4.3655900955200195,-2.910499334335327,-4.401520729064941,-2.9015984535217285,-4.387605667114258
depablo_mixed_temp,calibration,9,13,0.3587197549224782,-2.9125189781188965,-4.4063591957092285,-2.914135217666626,-4.409764766693115,-2.915053367614746,-4.41213846206665
depablo_mixed_temp,calibration,10,21,-0.122155591678499,-2.9013381004333496,-4.386377334594727,-2.9014012813568115,-4.386443138122559,-2.9033639430999756,-4.390881538391113
depablo_mixed_temp,calibration,11,107,-0.6031623761001267,-2.8967437744140625,-4.372709274291992,-2.8978633880615234,-4.372687339782715,-2.905977249145508,-4.3888044357299805
depablo_mixed_temp,calibration,12,14,-0.026450600229392638,-2.913646936416626,-4.40374231338501,-2.9148242473602295,-4.406258583068848,-2.9176523685455322,-4.411896705627441
depablo_mixed_temp,calibration,13,77,0.17076206702616867,-2.9086663722991943,-4.399593830108643,-2.9085633754730225,-4.399552822113037,-2.9108943939208984,-4.404336929321289
depablo_mixed_temp,calibration,14,130,0.22021860740893506,-2.9061338901519775,-4.396510124206543,-2.904050350189209,-4.392618179321289,-2.911672353744507,-4.406775951385498
depablo_mixed_temp,calibration,15,50,0.36259260088180656,-2.9069652557373047,-4.398575305938721,-2.9071550369262695,-4.398393630981445,-2.910804510116577,-4.406276702880859
