source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,dimension,seed,variant,kind
lj_noisy,100,20,20,-0.2745426788234477,0.0649263481602542,0.0053100823581802,2,123,delta_transfer3,rollout
reid,10,20,20,-0.3659021957636563,0.1738403441467009,0.0283466184553629,2,123,delta_transfer3,ae
reid,25,20,20,0.659341566461269,0.0933031553397385,0.0340742914742546,2,123,delta_transfer3,ae
reid,50,20,20,0.9159886088699518,0.0454774012213535,0.03674579830514,2,123,delta_transfer3,ae
reid,75,20,20,0.9499003888826164,0.0358843972128358,0.0381454871288846,2,123,delta_transfer3,ae
reid,100,20,20,0.9345397388711262,0.0403578298276164,0.0392619338029476,2,123,delta_transfer3,ae
depablo_low_temp,10,20,20,0.6984139861477674,0.118794167649319,0.0890919672458267,2,123,delta_transfer3,ae
depablo_low_temp,25,20,20,0.8391584681985425,0.0953675141129833,0.1113451632350467,2,123,delta_transfer3,ae
depablo_low_temp,50,20,20,0.9220891440621836,0.0706310040713297,0.121923909291221,2,123,delta_transfer3,ae
depablo_low_temp,75,20,20,0.9536870537129716,0.0601614779059302,0.1271388104990921,2,123,delta_transfer3,ae
depablo_low_temp,100,20,20,0.9538723495011292,0.0635195640726381,0.1309363081666797,2,123,delta_transfer3,ae
depablo_mixed_temp,10,20,20,0.1786721189241893,0.2874863252751122,0.1792210970466572,2,123,delta_transfer3,ae
depablo_mixed_temp,25,20,20,0.5752774417488156,0.222913681232888,0.1814265265332104,2,123,delta_transfer3,ae
depablo_mixed_temp,50,20,20,0.5752333601256163,0.1767347826798309,0.1290510646927359,2,123,delta_transfer3,ae
depablo_mixed_temp,75,20,20,0.8268776236475286,0.1275866065315361,0.1721180025747532,2,123,delta_transfer3,ae
depablo_mixed_temp,100,20,20,0.8738270009515807,0.0965004274004469,0.1264354805514444,2,123,delta_transfer3,ae
lj_noisy,10,20,20,-0.4152307307678944,0.0425755142810825,0.0021538442446725,2,123,delta_transfer3,ae
lj_noisy,25,20,20,0.4318467863936841,0.0406068045178453,0.0041168599721615,2,123,delta_transfer3,ae
lj_noisy,50,20,20,0.5235557873575336,0.041794289850563,0.0047651600463273,2,123,delta_transfer3,ae
