dimension,variant,kind,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
2,velocity_transfer3,rollout,depablo_low_temp,75,3,0.9261443507523182,0.02281457511729117,0.081812561752705,20,20
2,velocity_transfer3,rollout,depablo_low_temp,100,3,0.9486414591903705,0.01773766860500885,0.06652502143332077,20,20
2,velocity_transfer3,rollout,depablo_mixed_temp,10,3,-0.07020122127579549,0.2027434199361041,0.3187835447328741,20,20
2,velocity_transfer3,rollout,depablo_mixed_temp,25,3,-0.5059228508548166,0.1769776013321268,0.42387539910135114,20,20
2,velocity_transfer3,rollout,depablo_mixed_temp,50,3,-1.203807342042472,0.26386363505124755,0.4036681262993118,20,20
2,velocity_transfer3,rollout,depablo_mixed_temp,75,3,-0.6200860335614266,0.2343213853966346,0.3881991501022119,20,20
2,velocity_transfer3,rollout,depablo_mixed_temp,100,3,-1.1963389852582373,0.23482111446770515,0.38527182633171825,20,20
2,velocity_transfer3,rollout,lj_noisy,10,3,-1.369918166982642,1.9553517577562904,0.05778545496462037,20,20
2,velocity_transfer3,rollout,lj_noisy,25,3,-0.6080034208731026,0.7704821109663991,0.06614804311484927,20,20
2,velocity_transfer3,rollout,lj_noisy,50,3,-0.5383792103382916,0.6208468683830434,0.0686564185885981,20,20
2,velocity_transfer3,rollout,lj_noisy,75,3,-0.03990838043104928,0.3204071186162131,0.05781764638949707,20,20
2,velocity_transfer3,rollout,lj_noisy,100,3,0.234299717756123,0.0353186805246527,0.053138085456367036,20,20
2,velocity_transfer3,rollout,reid,10,3,0.09121955201160868,0.2534531732322395,0.1327795035120762,20,20
2,velocity_transfer3,rollout,reid,25,3,0.7173021333055288,0.034495053453312344,0.07709174931291013,20,20
2,velocity_transfer3,rollout,reid,50,3,0.894356822717279,0.029308675997583467,0.04589402185850657,20,20
2,velocity_transfer3,rollout,reid,75,3,0.9185290071524022,0.03004212996830329,0.039567225424657265,20,20
2,velocity_transfer3,rollout,reid,100,3,0.9093592880390794,0.03559476242072522,0.0410668688680445,20,20
6,acceleration_transfer3,ae,depablo_low_temp,10,3,0.7131656594424981,0.11995766913179573,0.13487256513187104,20,20
6,acceleration_transfer3,ae,depablo_low_temp,25,3,0.8591911715895444,0.048005645116567214,0.105729524591665,20,20
6,acceleration_transfer3,ae,depablo_low_temp,50,3,0.9310829367064418,0.005715060418242689,0.07327317389867889,20,20
6,acceleration_transfer3,ae,depablo_low_temp,75,3,0.9574759245203323,0.013357557478695709,0.05661547474156043,20,20
6,acceleration_transfer3,ae,depablo_low_temp,100,3,0.9565083124657461,0.02554990440706515,0.0554054481884901,20,20
6,acceleration_transfer3,ae,depablo_mixed_temp,10,3,-0.1365752538377024,0.22222471982580785,0.3393039443397354,20,20
6,acceleration_transfer3,ae,depablo_mixed_temp,25,3,0.0682078672935005,0.19246416802080502,0.3190438958502078,20,20
6,acceleration_transfer3,ae,depablo_mixed_temp,50,3,0.1680402540881514,0.29220319146431006,0.2626573893675613,20,20
6,acceleration_transfer3,ae,depablo_mixed_temp,75,3,0.5453257752567715,0.2672428050628804,0.20836121778103492,20,20
6,acceleration_transfer3,ae,depablo_mixed_temp,100,3,0.40421785599569743,0.40760023938850326,0.1977289897702211,20,20
6,acceleration_transfer3,ae,lj_noisy,10,3,-1.1203355722488026,1.5569450553156505,0.05386438357300966,20,20
6,acceleration_transfer3,ae,lj_noisy,25,3,-0.1407067205484401,0.3639150914474755,0.0576703019938212,20,20
6,acceleration_transfer3,ae,lj_noisy,50,3,0.07281454671967351,0.06863159345040937,0.055991086951150466,20,20
6,acceleration_transfer3,ae,lj_noisy,75,3,0.12100743399120933,0.14554470526788313,0.05538383997605847,20,20
6,acceleration_transfer3,ae,lj_noisy,100,3,-0.23073505981161202,0.33354601032488734,0.06402517444542243,20,20
6,acceleration_transfer3,ae,reid,10,3,-0.06478116462326265,0.3772365131515243,0.1424380720603271,20,20
6,acceleration_transfer3,ae,reid,25,3,0.3075968855672399,0.6318729626561203,0.11749634198425653,20,20
6,acceleration_transfer3,ae,reid,50,3,0.9089720608832862,0.01993832656992465,0.0451948194304398,20,20
6,acceleration_transfer3,ae,reid,75,3,0.9267525551807022,0.06467894303332251,0.03989612213787743,20,20
6,acceleration_transfer3,ae,reid,100,3,0.8498353448508843,0.14210816142186572,0.056936452569123136,20,20
6,acceleration_transfer3,rollout,depablo_low_temp,10,3,0.7126006231499011,0.11355393590692614,0.13505920574812622,20,20
6,acceleration_transfer3,rollout,depablo_low_temp,25,3,0.7903935874956501,0.15959161987598472,0.123117639436178,20,20
6,acceleration_transfer3,rollout,depablo_low_temp,50,3,0.8345444123535586,0.18408455812127175,0.10400342419353187,20,20
6,acceleration_transfer3,rollout,depablo_low_temp,75,3,0.8272514258524181,0.2331088822563889,0.096571891413889,20,20
6,acceleration_transfer3,rollout,depablo_low_temp,100,3,0.770311951834946,0.3308479338763611,0.10925972954094725,20,20
6,acceleration_transfer3,rollout,depablo_mixed_temp,10,3,-0.7513598328329995,0.8300611651249664,0.4190817838488652,20,20
6,acceleration_transfer3,rollout,depablo_mixed_temp,25,3,-0.5398254879235685,0.2633046764985487,0.45150821511248723,20,20
6,acceleration_transfer3,rollout,depablo_mixed_temp,50,3,-1.195988410723217,0.2540992232634257,0.4495931569668954,20,20
6,acceleration_transfer3,rollout,depablo_mixed_temp,75,3,-1.0201253735175901,0.6200144441488746,0.5077775579766383,20,20
6,acceleration_transfer3,rollout,depablo_mixed_temp,100,3,-1.4810906330338092,0.8205153347455671,0.47837847931146255,20,20
6,acceleration_transfer3,rollout,lj_noisy,10,3,-1.1349972938015223,1.5827362749967668,0.053864769955885294,20,20
6,acceleration_transfer3,rollout,lj_noisy,25,3,-0.14241488145807032,0.24298220202983078,0.05770172802039724,20,20
6,acceleration_transfer3,rollout,lj_noisy,50,3,-0.0627170362090439,0.2101703452043907,0.06009687148211627,20,20
6,acceleration_transfer3,rollout,lj_noisy,75,3,0.020320190122548727,0.21168046245539873,0.057962851507463366,20,20
6,acceleration_transfer3,rollout,lj_noisy,100,3,0.21439884121202993,0.23077727703376255,0.05503482766051634,20,20
6,acceleration_transfer3,rollout,reid,10,3,-0.0587238806387935,0.38450273975511184,0.14178826577296444,20,20
6,acceleration_transfer3,rollout,reid,25,3,0.20303423657248268,0.7613993974265794,0.12281371843750827,20,20
6,acceleration_transfer3,rollout,reid,50,3,0.6053945300903556,0.4879506800066661,0.0831082932924384,20,20
6,acceleration_transfer3,rollout,reid,75,3,0.6713645696688886,0.4636578814180871,0.07722595693653679,20,20
6,acceleration_transfer3,rollout,reid,100,3,0.5281335059594303,0.6799858888765391,0.09256747627911223,20,20
6,delta_transfer3,ae,depablo_low_temp,10,3,0.7131656594424981,0.11995766913179573,0.13487256513187104,20,20
6,delta_transfer3,ae,depablo_low_temp,25,3,0.8591911715895444,0.048005645116567214,0.105729524591665,20,20
6,delta_transfer3,ae,depablo_low_temp,50,3,0.9310829367064418,0.005715060418242689,0.07327317389867889,20,20
6,delta_transfer3,ae,depablo_low_temp,75,3,0.9574759245203323,0.013357557478695709,0.05661547474156043,20,20
6,delta_transfer3,ae,depablo_low_temp,100,3,0.9565083124657461,0.02554990440706515,0.0554054481884901,20,20
6,delta_transfer3,ae,depablo_mixed_temp,10,3,-0.1365752538377024,0.22222471982580785,0.3393039443397354,20,20
6,delta_transfer3,ae,depablo_mixed_temp,25,3,0.0682078672935005,0.19246416802080502,0.3190438958502078,20,20
6,delta_transfer3,ae,depablo_mixed_temp,50,3,0.1680402540881514,0.29220319146431006,0.2626573893675613,20,20
6,delta_transfer3,ae,depablo_mixed_temp,75,3,0.5453257752567715,0.2672428050628804,0.20836121778103492,20,20
6,delta_transfer3,ae,depablo_mixed_temp,100,3,0.40421785599569743,0.40760023938850326,0.1977289897702211,20,20
6,delta_transfer3,ae,lj_noisy,10,3,-1.1203355722488026,1.5569450553156505,0.05386438357300966,20,20
6,delta_transfer3,ae,lj_noisy,25,3,-0.1407067205484401,0.3639150914474755,0.0576703019938212,20,20
6,delta_transfer3,ae,lj_noisy,50,3,0.07281454671967351,0.06863159345040937,0.055991086951150466,20,20
6,delta_transfer3,ae,lj_noisy,75,3,0.12100743399120933,0.14554470526788313,0.05538383997605847,20,20
6,delta_transfer3,ae,lj_noisy,100,3,-0.23073505981161202,0.33354601032488734,0.06402517444542243,20,20
6,delta_transfer3,ae,reid,10,3,-0.06478116462326265,0.3772365131515243,0.1424380720603271,20,20
6,delta_transfer3,ae,reid,25,3,0.3075968855672399,0.6318729626561203,0.11749634198425653,20,20
6,delta_transfer3,ae,reid,50,3,0.9089720608832862,0.01993832656992465,0.0451948194304398,20,20
6,delta_transfer3,ae,reid,75,3,0.9267525551807022,0.06467894303332251,0.03989612213787743,20,20
6,delta_transfer3,ae,reid,100,3,0.8498353448508843,0.14210816142186572,0.056936452569123136,20,20
6,delta_transfer3,rollout,depablo_low_temp,10,3,0.5484551198605967,0.0867438850281658,0.17733856711457974,20,20
6,delta_transfer3,rollout,depablo_low_temp,25,3,0.32301855300994636,0.18957241842666364,0.2421724530852436,20,20
6,delta_transfer3,rollout,depablo_low_temp,50,3,0.06671553374254154,0.4617157587739913,0.2874699080263138,20,20
6,delta_transfer3,rollout,depablo_low_temp,75,3,-0.10568829662782771,0.6716280746727215,0.3160714979033173,20,20
6,delta_transfer3,rollout,depablo_low_temp,100,3,-0.15630770853050946,0.7011284633162902,0.3331912860547287,20,20
6,delta_transfer3,rollout,depablo_mixed_temp,10,3,-0.26823454496404947,0.33569779031459823,0.3521161257563294,20,20
6,delta_transfer3,rollout,depablo_mixed_temp,25,3,-0.2023484182316095,0.24584285219191065,0.3733496187498406,20,20
6,delta_transfer3,rollout,depablo_mixed_temp,50,3,-0.389886074965542,0.3213906964695703,0.35847012897502367,20,20
6,delta_transfer3,rollout,depablo_mixed_temp,75,3,0.035694374357246705,0.19093036230262178,0.34210247786676456,20,20
6,delta_transfer3,rollout,depablo_mixed_temp,100,3,-0.2761121416260504,0.4439551564941692,0.3373105788229019,20,20
6,delta_transfer3,rollout,lj_noisy,10,3,-1.4512716804501427,2.005150425689573,0.05762787384444964,20,20
6,delta_transfer3,rollout,lj_noisy,25,3,-0.4739989968572657,0.11184927168736825,0.06543426817490784,20,20
6,delta_transfer3,rollout,lj_noisy,50,3,-0.3973652963771707,0.24836410861799185,0.0682693696717286,20,20
6,delta_transfer3,rollout,lj_noisy,75,3,-0.34991560384568565,0.22951214884135954,0.06985466494838793,20,20
6,delta_transfer3,rollout,lj_noisy,100,3,-0.33487797680423687,0.2184772172650699,0.07023419745882743,20,20
6,delta_transfer3,rollout,reid,10,3,-0.27704581861214356,0.5520205909494337,0.1551754862727089,20,20
6,delta_transfer3,rollout,reid,25,3,-0.23629332313260573,0.2913577115157464,0.16826271911775414,20,20
6,delta_transfer3,rollout,reid,50,3,-0.32774793275093533,0.5947757890156353,0.18290243244369386,20,20
6,delta_transfer3,rollout,reid,75,3,-0.288445725486829,0.6156623571893133,0.1853559224635173,20,20
6,delta_transfer3,rollout,reid,100,3,-0.13882577815414313,0.3749895804120516,0.17853734718316028,20,20
6,velocity_transfer3,ae,depablo_low_temp,10,3,0.7131656594424981,0.11995766913179573,0.13487256513187104,20,20
6,velocity_transfer3,ae,depablo_low_temp,25,3,0.8591911715895444,0.048005645116567214,0.105729524591665,20,20
6,velocity_transfer3,ae,depablo_low_temp,50,3,0.9310829367064418,0.005715060418242689,0.07327317389867889,20,20
6,velocity_transfer3,ae,depablo_low_temp,75,3,0.9574759245203323,0.013357557478695709,0.05661547474156043,20,20
6,velocity_transfer3,ae,depablo_low_temp,100,3,0.9565083124657461,0.02554990440706515,0.0554054481884901,20,20
6,velocity_transfer3,ae,depablo_mixed_temp,10,3,-0.1365752538377024,0.22222471982580785,0.3393039443397354,20,20
6,velocity_transfer3,ae,depablo_mixed_temp,25,3,0.0682078672935005,0.19246416802080502,0.3190438958502078,20,20
6,velocity_transfer3,ae,depablo_mixed_temp,50,3,0.1680402540881514,0.29220319146431006,0.2626573893675613,20,20
6,velocity_transfer3,ae,depablo_mixed_temp,75,3,0.5453257752567715,0.2672428050628804,0.20836121778103492,20,20
6,velocity_transfer3,ae,depablo_mixed_temp,100,3,0.40421785599569743,0.40760023938850326,0.1977289897702211,20,20
6,velocity_transfer3,ae,lj_noisy,10,3,-1.1203355722488026,1.5569450553156505,0.05386438357300966,20,20
6,velocity_transfer3,ae,lj_noisy,25,3,-0.1407067205484401,0.3639150914474755,0.0576703019938212,20,20
6,velocity_transfer3,ae,lj_noisy,50,3,0.07281454671967351,0.06863159345040937,0.055991086951150466,20,20
6,velocity_transfer3,ae,lj_noisy,75,3,0.12100743399120933,0.14554470526788313,0.05538383997605847,20,20
6,velocity_transfer3,ae,lj_noisy,100,3,-0.23073505981161202,0.33354601032488734,0.06402517444542243,20,20
6,velocity_transfer3,ae,reid,10,3,-0.06478116462326265,0.3772365131515243,0.1424380720603271,20,20
6,velocity_transfer3,ae,reid,25,3,0.3075968855672399,0.6318729626561203,0.11749634198425653,20,20
6,velocity_transfer3,ae,reid,50,3,0.9089720608832862,0.01993832656992465,0.0451948194304398,20,20
6,velocity_transfer3,ae,reid,75,3,0.9267525551807022,0.06467894303332251,0.03989612213787743,20,20
6,velocity_transfer3,ae,reid,100,3,0.8498353448508843,0.14210816142186572,0.056936452569123136,20,20
6,velocity_transfer3,rollout,depablo_low_temp,10,3,0.6998557086151945,0.06155459214334606,0.13371296774974248,20,20
6,velocity_transfer3,rollout,depablo_low_temp,25,3,0.817697836320436,0.04783006556398334,0.11773350009384333,20,20
6,velocity_transfer3,rollout,depablo_low_temp,50,3,0.863084283980467,0.0463970559115762,0.10438128498383141,20,20
6,velocity_transfer3,rollout,depablo_low_temp,75,3,0.8491520796353056,0.14426055163778964,0.10174491458314376,20,20
6,velocity_transfer3,rollout,depablo_low_temp,100,3,0.8128352915991267,0.2497909012710232,0.10120213921644157,20,20
6,velocity_transfer3,rollout,depablo_mixed_temp,10,3,-0.17307043619281007,0.24286364042557157,0.33335059844722775,20,20
6,velocity_transfer3,rollout,depablo_mixed_temp,25,3,-0.6555612422708212,0.6518200179511721,0.43730396507179975,20,20
