source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,seed
reid,25,20,20,20,0.7677769744593886,0.0728919410875946,0.0340742914742546,3.500305469472664e-07,0.000509467581287,0.0002750560248387,longer,456
reid,50,20,20,20,0.9017343716259564,0.046066088389666,0.03674579830514,1.4682852309988447e-06,0.0007505728397518,0.0002998373267473,longer,456
reid,75,20,20,20,0.9555844360335132,0.0308559594828848,0.0381454871288846,3.4807049004825784e-06,0.0008221468422561,0.0004022277687909,longer,456
reid,100,20,20,20,0.9546478700060466,0.037292177740486,0.0392619338029476,6.909586369374665e-06,0.0014793882612138,0.0005954778112936,longer,456
depablo_low_temp,5,20,20,20,0.7893919439069194,0.0988343931381849,0.0635535199374179,2.3110704963080767e-07,0.0009636516042519,0.0001505193973571,longer,786
depablo_low_temp,10,20,20,20,0.8101328327942734,0.1053005605373538,0.0890919672458267,1.7797083486925658e-07,0.0008246933517511,0.0001682022455497,longer,786
depablo_low_temp,25,20,20,20,0.9094707014836976,0.0701492151674104,0.1113451632350467,2.183377953102195e-07,0.0006341278785839,0.0002268634183565,longer,786
depablo_low_temp,50,20,20,20,0.9430248907670528,0.0574697387354104,0.121923909291221,6.462245586646986e-07,0.0005803620442748,0.000337907775247,longer,786
depablo_low_temp,75,20,20,20,0.9609955120692396,0.0505401953905436,0.1271388104990921,1.4507892615256424e-06,0.0008221186231821,0.0004980057739885,longer,786
depablo_low_temp,100,20,20,20,0.962838805291662,0.0551466175222,0.1309363081666797,2.8494561178149524e-06,0.0015143996104598,0.000684116652701,longer,786
depablo_mixed_temp,5,20,20,20,0.2977397933488871,0.3246210968618452,0.2267994575756468,4.963821801169388e-05,0.0101646028488175,0.001273607488838,longer,786
depablo_mixed_temp,10,20,20,20,0.4319871854348035,0.2375649571652277,0.1792210970466572,6.532546117341554e-05,0.0110610027157235,0.0015168159057793,longer,786
depablo_mixed_temp,25,20,20,20,0.4098270510328985,0.2239429186663158,0.1814265265332104,6.290662182948382e-05,0.0111062042531557,0.0009771893033757,longer,786
depablo_mixed_temp,50,20,20,20,0.7565258159564994,0.1401480060215194,0.1290510646927359,6.640535212767417e-05,0.0100090505788102,0.0015171093895332,longer,786
depablo_mixed_temp,75,20,20,20,0.7017065240248588,0.1298524503532818,0.1721180025747532,6.213765294376117e-05,0.0097336182370781,0.001829173209262,longer,786
depablo_mixed_temp,100,20,20,20,0.8410880002315313,0.1004753126733285,0.1264354805514444,5.557755312111112e-05,0.0087112239096313,0.0014417401456739,longer,786
lj_noisy,5,20,20,20,-19.296576896562424,0.1390418329883667,0.0012192600578043,8.814695093839476e-08,0.00058346997248,0.0001308791084738,longer,786
lj_noisy,10,20,20,20,-6.851146689064649,0.1140027285605767,0.0021538442446725,6.717234146691453e-08,0.0003856565221212,0.000169346484472,longer,786
lj_noisy,25,20,20,20,-0.356409382815507,0.0602055010986376,0.0041168599721615,3.36197609840383e-07,0.0003651562263257,0.0002764213539194,longer,786
lj_noisy,50,20,20,20,0.2188339320755817,0.047673205147363,0.0047651600463273,1.6649472797780618e-06,0.0005433975718915,0.0002755377674475,longer,786
lj_noisy,75,20,20,20,0.1859630139812191,0.0488703835672216,0.0050961142073924,4.3536837665669735e-06,0.0008230310399085,0.0004282084642909,longer,786
lj_noisy,100,20,20,20,-0.0492471620882706,0.0584888620566285,0.0053100823581802,8.778522078500827e-06,0.0014292397536337,0.0006334619363769,longer,786
reid,5,20,20,20,-0.7707140177946774,0.156551983452932,0.0215407678341569,5.965403420127303e-08,0.0004261532390955,0.0002026417546403,longer,786
reid,10,20,20,20,-0.0013840922985952,0.1331429528172878,0.0283466184553629,7.431554944759e-08,0.0003470752679277,0.0002477830021234,longer,786
reid,25,20,20,20,0.7558096938022635,0.0669783174589202,0.0340742914742546,3.080891248785633e-07,0.0003377640969119,0.0002616519610455,longer,786
reid,50,20,20,20,0.9182218522665316,0.0374611664386535,0.03674579830514,1.4504709987761545e-06,0.000660156388767,0.0003239951256546,longer,786
reid,75,20,20,20,0.9591060653683754,0.0308138422658519,0.0381454871288846,3.5571602793993405e-06,0.0009750367607921,0.0003878974224789,longer,786
reid,100,20,20,20,0.94184668115701,0.0409019671126375,0.0392619338029476,7.089724971365286e-06,0.0015388410538434,0.0006210486870259,longer,786
depablo_low_temp,5,20,20,20,0.731550680471313,0.1148114560405549,0.0635535199374179,1.172645540670203e-07,0.0005621013289783,0.0001573508165165,longer,2026
depablo_low_temp,10,20,20,20,0.8262594525789444,0.1048923296070578,0.0890919672458267,1.3248248360575586e-07,0.0005578489537583,0.0001647925151701,longer,2026
depablo_low_temp,25,20,20,20,0.8998632230835774,0.0750935034755023,0.1113451632350467,2.765756098810357e-07,0.0006087826797738,0.0002387989363342,longer,2026
depablo_low_temp,50,20,20,20,0.9406162559631884,0.0619597675336649,0.121923909291221,6.982827692070259e-07,0.0006390465190634,0.0003922414092812,longer,2026
depablo_low_temp,75,20,20,20,0.9505592140838508,0.0568494475901756,0.1271388104990921,1.5160425064664195e-06,0.0008499971125274,0.0005371447739889,longer,2026
depablo_low_temp,100,20,20,20,0.9501207737634328,0.0611146970485238,0.1309363081666797,3.17539780212428e-06,0.0016899657901376,0.0005922414566157,longer,2026
depablo_mixed_temp,5,20,20,20,0.1838784609797246,0.3335810455486589,0.2267994575756468,4.083862430164232e-05,0.0082024310017004,0.0015211150697723,longer,2026
depablo_mixed_temp,10,20,20,20,0.3123005824710683,0.2652928618822218,0.1792210970466572,3.976003564645225e-05,0.0079631807166151,0.0016626153723336,longer,2026
depablo_mixed_temp,25,20,20,20,0.3577511523513856,0.2329421626075928,0.1814265265332104,3.512934765410591e-05,0.0069323550444096,0.0015226069750497,longer,2026
depablo_mixed_temp,50,20,20,20,0.6673916105796845,0.1564434098450873,0.1290510646927359,4.1769027970417485e-05,0.0069512029644101,0.0015042728264234,longer,2026
