variant,seed,source,selected_epoch,epochs,train_mse,val_mse,val_train_ratio,criterion
equal_source,786,lj_noisy,5,13,0.3439637147282299,0.3680724335135892,1.070090878057902,val_max_source_reconstruction
lj_edges,123,reid,8,16,0.1642218670954829,0.1986757173326623,1.20980062428073,val_max_source_reconstruction
lj_edges,123,depablo_low_temp,8,16,0.123556933708881,0.1513196852174587,1.224696022110673,val_max_source_reconstruction
lj_edges,123,lj_noisy,8,16,0.3067028989133082,0.330730482834042,1.0783415611846738,val_max_source_reconstruction
lj_edges,2026,reid,17,25,0.1597289683787446,0.1938704031563247,1.213746041961687,val_max_source_reconstruction
lj_edges,2026,depablo_low_temp,17,25,0.1141010644404511,0.1427358835790073,1.2509601402842354,val_max_source_reconstruction
lj_edges,2026,lj_noisy,17,25,0.3011920199190315,0.3280757449247176,1.0892577599264188,val_max_source_reconstruction
lj_edges,3456456,reid,14,22,0.1603041025564859,0.197720465293969,1.2334086410814022,val_max_source_reconstruction
lj_edges,3456456,depablo_low_temp,14,22,0.1155273271430479,0.1464544433692935,1.2677039016747191,val_max_source_reconstruction
lj_edges,3456456,lj_noisy,14,22,0.2994085032296808,0.3269104627106571,1.0918543033491575,val_max_source_reconstruction
lj_edges,456,reid,12,20,0.1601092444046547,0.1974444271545508,1.2331856782456383,val_max_source_reconstruction
lj_edges,456,depablo_low_temp,12,20,0.1134456046415787,0.1408855117624625,1.2418772169056504,val_max_source_reconstruction
lj_edges,456,lj_noisy,12,20,0.3047412446847087,0.3316655245289439,1.0883512826499464,val_max_source_reconstruction
lj_edges,786,reid,19,27,0.156886033204041,0.2012472877977416,1.2827610188601415,val_max_source_reconstruction
lj_edges,786,depablo_low_temp,19,27,0.1146063782372757,0.1327399728179443,1.158225003351259,val_max_source_reconstruction
lj_edges,786,lj_noisy,19,27,0.3029619740812402,0.3305663216888206,1.0911148921949465,val_max_source_reconstruction
longer,123,reid,33,40,0.1494765756161589,0.2049410237523261,1.3710577922161826,val_objective
longer,123,depablo_low_temp,33,40,0.0781054331528905,0.1172045976381923,1.5005946821748704,val_objective
longer,123,lj_noisy,33,40,0.2910411480618151,0.3353213967493502,1.152144289501395,val_objective
longer,3456456,reid,33,40,0.1489762043531396,0.1998071993693884,1.341202108329709,val_objective
longer,3456456,depablo_low_temp,33,40,0.079205529676064,0.1074463664735958,1.3565513280831734,val_objective
longer,3456456,lj_noisy,33,40,0.2911684182521544,0.3290753778564976,1.130189118146445,val_objective
longer,456,reid,27,35,0.1607506269883168,0.2026922252662188,1.2609109467482842,val_objective
longer,456,depablo_low_temp,27,35,0.0904348114407376,0.1154727386820013,1.276861607188413,val_objective
longer,456,lj_noisy,27,35,0.3050766165074157,0.3311267363460501,1.0853887791757426,val_objective
longer,786,reid,17,25,0.1594623953496155,0.2104064187442418,1.3194735867533744,val_objective
longer,786,depablo_low_temp,17,25,0.089797906303092,0.115864734070783,1.2902832464680019,val_objective
longer,786,lj_noisy,17,25,0.3017893010848447,0.3303891327377641,1.09476754659662,val_objective
wider,2026,reid,19,27,0.1511298905175767,0.234251225607295,1.5499993072518712,val_max_source_reconstruction
wider,2026,depablo_low_temp,19,27,0.0905108735455494,0.1285230813373346,1.4199739357576262,val_max_source_reconstruction
wider,2026,lj_noisy,19,27,0.3020869201735446,0.3335262272012187,1.1040737116642212,val_max_source_reconstruction
wider,3456456,reid,30,38,0.1458750545880512,0.2131547307653818,1.4612144027457423,val_max_source_reconstruction
wider,3456456,depablo_low_temp,30,38,0.0844588711661727,0.1122318229099619,1.328834039104619,val_max_source_reconstruction
wider,3456456,lj_noisy,30,38,0.2979704307098137,0.3273476017930079,1.098590893778329,val_max_source_reconstruction
