variant,source,frame,seeds,r2_mean,r2_std,r2_min,position_mse,strain_x_mae,strain_y_mae,p_ratio_mae,valid_min,total_min
lj_edges,reid,5,5,-0.3688663623519133,1.3345904930145278,-2.73852034931802,4.61573519450198e-08,0.00037881765107154004,0.00011816737202019981,0.1412220039986913,20,20
lj_edges,reid,10,5,0.41860311978542886,0.23429636297917764,0.0050321201154236,6.213725876058619e-08,0.0003059972042683,0.00016621533770369999,0.111641751757847,20,20
lj_edges,reid,25,5,0.8214117363377766,0.04242768628563606,0.7567413176193853,3.3563996325369773e-07,0.00049350676359604,0.00025754193982714,0.06815029966171812,20,20
lj_edges,reid,50,5,0.9438849375341768,0.011935359616415812,0.9347492376206622,1.421176254865486e-06,0.00056821198668324,0.000284929908812,0.0381269523972335,20,20
lj_edges,reid,75,5,0.9620188432835455,0.009376030773940114,0.9467206014711904,3.4438767067968e-06,0.00085417112335558,0.00037516248528842003,0.03022805700694396,20,20
lj_edges,reid,100,5,0.9498092820579396,0.016176022182180293,0.9297122831776004,6.792999373033127e-06,0.00159884753637012,0.00053372734066212,0.03517818636507106,20,20
lj_edges_response,depablo_low_temp,5,5,0.1498013154177346,0.4466525068355033,-0.5095203921705072,2.7073618698025824e-07,0.0010816945106489,0.00017121028096876,0.19373502108249818,20,20
lj_edges_response,depablo_low_temp,10,5,0.5265492878730815,0.21248257139362142,0.269321352717864,1.855195702571422e-07,0.0007747911609476,0.00025004033825090004,0.18398723904201136,20,20
lj_edges_response,depablo_low_temp,25,5,0.7991032448576775,0.1012711298553297,0.6638321479838607,2.5845929055634545e-07,0.00056259831413622,0.00046222936820409995,0.13006657242311678,20,20
lj_edges_response,depablo_low_temp,50,5,0.9272246385208822,0.013762933333395738,0.9145707898542266,7.548397627488158e-07,0.0006015994772314599,0.00055057505232974,0.08060357300052183,20,20
lj_edges_response,depablo_low_temp,75,5,0.9567429571472197,0.01348113682480308,0.9407158230266256,1.737899298177581e-06,0.0008203941863029401,0.00068506225012238,0.06411275652375376,20,20
lj_edges_response,depablo_low_temp,100,5,0.9541694235646945,0.01570819155023438,0.9303486528917674,3.813306603888123e-06,0.00151017349213358,0.00090417264786078,0.062788345907902,20,20
lj_edges_response,depablo_mixed_temp,5,5,-0.3239059189343772,0.1776850875197379,-0.5555575264166637,1.705698360723318e-05,0.0014751019015966202,0.0010429505226783801,0.4475518250865919,20,20
lj_edges_response,depablo_mixed_temp,10,5,-0.41081239815986226,0.7759348409350121,-1.5070355250743797,1.911803288933811e-05,0.0019149964692769198,0.0011649210837639998,0.3724665139157188,20,20
lj_edges_response,depablo_mixed_temp,25,5,-0.29486308859970867,0.5477083080791081,-0.9486273842579932,1.7770897684385997e-05,0.0020559041621163,0.0011967891856328999,0.3402200951411086,20,20
lj_edges_response,depablo_mixed_temp,50,5,0.16564179773474946,0.48093196009867883,-0.5558858857573687,2.4156163401016785e-05,0.0031575240730307595,0.0018646652025927,0.22891159011891485,20,20
