split,trajectory,source,frame,condition,position_mse,normalized_position_mse,start
train,20,depablo_low_temp,10,wrong_time,1.8252847439725883e-05,2.78542423248291,
train,20,depablo_low_temp,10,optimized_code,1.4455604713248249e-08,0.006859743967652321,encoder
train,20,depablo_low_temp,10,optimized_code,1.4851141827421088e-07,0.14061838388442993,normal_0
train,20,depablo_low_temp,10,optimized_code,1.0887744110732456e-06,0.9085783362388611,normal_1
train,21,depablo_low_temp,10,encoder,2.968192518437718e-07,0.07779717445373535,
train,21,depablo_low_temp,10,same_source_same_time_permuted,4.4139531496512063e-07,0.07738954573869705,
train,21,depablo_low_temp,10,training_source_time_mean,3.299593629435549e-07,0.061720918864011765,
train,21,depablo_low_temp,10,wrong_time,2.173505345126614e-05,6.596634864807129,
train,21,depablo_low_temp,10,optimized_code,2.6742887015984707e-08,0.01290879026055336,encoder
train,21,depablo_low_temp,10,optimized_code,7.685820264669019e-07,0.736645519733429,normal_0
train,21,depablo_low_temp,10,optimized_code,5.722743026126409e-07,0.5446133613586426,normal_1
train,22,depablo_low_temp,10,encoder,1.5895601279680704e-07,0.03978489711880684,
train,22,depablo_low_temp,10,same_source_same_time_permuted,1.122342183634828e-07,0.03612856939435005,
train,22,depablo_low_temp,10,training_source_time_mean,1.0786623505509851e-07,0.028456373140215874,
train,22,depablo_low_temp,10,wrong_time,1.3562649655796122e-05,2.573873281478882,
train,22,depablo_low_temp,10,optimized_code,1.9091377367885798e-08,0.009886587969958782,encoder
train,22,depablo_low_temp,10,optimized_code,5.053845484326303e-07,0.5036013722419739,normal_0
train,22,depablo_low_temp,10,optimized_code,5.326182872522622e-07,0.5291526913642883,normal_1
train,20,depablo_low_temp,25,encoder,1.4880886567425478e-07,0.06719478964805603,
train,20,depablo_low_temp,25,same_source_same_time_permuted,5.095201345284295e-07,0.4936944246292114,
train,20,depablo_low_temp,25,training_source_time_mean,1.8379601840479154e-07,0.1338125616312027,
train,20,depablo_low_temp,25,wrong_time,1.826849620556459e-05,2.9578065872192383,
train,20,depablo_low_temp,25,optimized_code,7.402720569871235e-08,0.048113249242305756,encoder
train,20,depablo_low_temp,25,optimized_code,4.5035099560664094e-07,0.4184046983718872,normal_0
train,20,depablo_low_temp,25,optimized_code,7.96166190752956e-08,0.05381517484784126,normal_1
train,21,depablo_low_temp,25,encoder,2.8270576990507834e-07,0.118717260658741,
train,21,depablo_low_temp,25,same_source_same_time_permuted,7.489497306778503e-07,0.3174237906932831,
train,21,depablo_low_temp,25,training_source_time_mean,5.292611717777618e-07,0.24117742478847504,
train,21,depablo_low_temp,25,wrong_time,2.1976131392875686e-05,6.97175931930542,
train,21,depablo_low_temp,25,optimized_code,1.9799604444870056e-07,0.09912338852882385,encoder
train,21,depablo_low_temp,25,optimized_code,3.8351953435267205e-07,0.2820371389389038,normal_0
train,21,depablo_low_temp,25,optimized_code,4.3246552650089143e-07,0.32977303862571716,normal_1
train,22,depablo_low_temp,25,encoder,1.3171589330340794e-07,0.07541640102863312,
