split,source,frame,condition,start,total,position_mse,normalized_position_mse
val,depablo_low_temp,25,optimized_code,encoder,3,4.450965818136865e-08,0.01680502699067195
val,depablo_low_temp,25,optimized_code,normal_0,3,1.3352661009472893e-06,1.2886633078257244
val,depablo_low_temp,25,optimized_code,normal_1,3,5.490925521674702e-07,0.5086657057205836
val,depablo_low_temp,25,same_source_same_time_permuted,,3,7.818535626332354e-07,0.16928508381048837
val,depablo_low_temp,25,training_source_time_mean,,3,2.717238392809425e-07,0.0640308540314436
val,depablo_low_temp,25,wrong_time,,3,2.008143989466286e-05,5.178558190663655
val,depablo_low_temp,50,encoder,,3,1.992727334254596e-07,0.07350118458271027
val,depablo_low_temp,50,optimized_code,encoder,3,1.7413602411882798e-07,0.06656385585665703
val,depablo_low_temp,50,optimized_code,normal_0,3,3.3208718074699086e-06,3.083148260911306
val,depablo_low_temp,50,optimized_code,normal_1,3,2.4198732262448175e-06,2.126254081726074
val,depablo_low_temp,50,same_source_same_time_permuted,,3,2.004592384234153e-06,0.49509019653002423
val,depablo_low_temp,50,training_source_time_mean,,3,8.470325951748237e-07,0.1972135379910469
val,depablo_low_temp,50,wrong_time,,3,7.601084083338113e-06,1.8517091274261475
val,depablo_low_temp,75,encoder,,3,4.4456358712826233e-07,0.17325788736343384
val,depablo_low_temp,75,optimized_code,encoder,3,3.7312347937283147e-07,0.15213332076867422
val,depablo_low_temp,75,optimized_code,normal_0,3,9.752444081338277e-06,7.749769687652588
val,depablo_low_temp,75,optimized_code,normal_1,3,8.148199261389285e-06,6.281602382659912
val,depablo_low_temp,75,same_source_same_time_permuted,,3,3.090638453310627e-06,0.8942056099573771
val,depablo_low_temp,75,training_source_time_mean,,3,1.5255870001359047e-06,0.40669284264246625
val,depablo_low_temp,75,wrong_time,,3,1.704884865224206e-05,4.058389663696289
val,depablo_low_temp,100,encoder,,3,1.235901436302811e-06,0.39399726192156476
val,depablo_low_temp,100,optimized_code,encoder,3,9.633316722101881e-07,0.3519873420397441
val,depablo_low_temp,100,optimized_code,normal_0,3,1.981615817688483e-05,10.257396380106607
val,depablo_low_temp,100,optimized_code,normal_1,3,1.6685955415596254e-05,9.916159947713217
val,depablo_low_temp,100,same_source_same_time_permuted,,3,3.973900599400319e-06,1.333796997865041
val,depablo_low_temp,100,training_source_time_mean,,3,2.3362363966346797e-06,0.6888590852419535
val,depablo_low_temp,100,wrong_time,,3,2.363773880157775e-05,5.62423833211263
val,lj_noisy,5,encoder,,3,8.509092452868572e-08,0.026364564585189026
val,lj_noisy,5,optimized_code,encoder,3,1.6570467072559342e-08,0.004288324698184927
val,lj_noisy,5,optimized_code,normal_0,3,8.809394576777171e-07,0.8411504328250885
val,lj_noisy,5,optimized_code,normal_1,3,9.643949662555922e-07,0.9261542359987894
