source,rollout_steps,used_excluded,total_excluded,p_ratio_r2_excluded,p_ratio_mae_excluded,target_variance_excluded,seed,condition_excluded,kind,used_included,total_included,p_ratio_r2_included,p_ratio_mae_included,target_variance_included,condition_included,r2_excluded_minus_included
reid,25,20,20,0.3605211714165246,0.118997858108693,0.0340742914742546,123,exclude_mixed,rollout,20,20,0.4340469705929407,0.1216082609480772,0.0340742914742546,include_mixed,-0.07352579917641605
reid,50,20,20,0.6703574998196187,0.091443717965483,0.03674579830514,123,exclude_mixed,rollout,20,20,0.7468543243099302,0.0843063440164607,0.03674579830514,include_mixed,-0.07649682449031148
reid,75,20,20,0.8285102565737952,0.0727069651991056,0.0381454871288846,123,exclude_mixed,rollout,20,20,0.8286757315030067,0.0653247449992313,0.0381454871288846,include_mixed,-0.00016547492921148432
reid,100,20,20,0.7923858128413123,0.0788266221776413,0.0392619338029476,123,exclude_mixed,rollout,20,20,0.8568291437459763,0.0582049985275527,0.0392619338029476,include_mixed,-0.06444333090466403
depablo_low_temp,5,20,20,0.0480813340398902,0.2305422114539327,0.0635535199374179,123,exclude_mixed,rollout,20,20,0.3526682368451866,0.1452241695447667,0.0635535199374179,include_mixed,-0.30458690280529643
depablo_low_temp,10,20,20,0.2486240553008845,0.2404430959210232,0.0890919672458267,123,exclude_mixed,rollout,20,20,0.6739836469517275,0.1260060653371897,0.0890919672458267,include_mixed,-0.425359591650843
depablo_low_temp,25,20,20,0.4963439952231957,0.2164669388281752,0.1113451632350467,123,exclude_mixed,rollout,20,20,0.8805940592419714,0.094314079996006,0.1113451632350467,include_mixed,-0.3842500640187757
depablo_low_temp,50,20,20,0.7041916623944764,0.1764273274236293,0.121923909291221,123,exclude_mixed,rollout,20,20,0.9431328174057748,0.0744532239515868,0.121923909291221,include_mixed,-0.23894115501129842
depablo_low_temp,75,20,20,0.8281408949106452,0.1387213960137861,0.1271388104990921,123,exclude_mixed,rollout,20,20,0.9625680590675386,0.060273526211503,0.1271388104990921,include_mixed,-0.13442716415689338
depablo_low_temp,100,20,20,0.8717784134928215,0.1167839170287761,0.1309363081666797,123,exclude_mixed,rollout,20,20,0.965284671376759,0.0495483620579707,0.1309363081666797,include_mixed,-0.09350625788393752
lj_noisy,5,20,20,-29.6381226319074,0.1837985484787802,0.0012192600578043,123,exclude_mixed,rollout,20,20,-63.394789985701095,0.2481240077090219,0.0012192600578043,include_mixed,33.756667353793695
lj_noisy,10,20,20,-19.453854353943672,0.2021746119701542,0.0021538442446725,123,exclude_mixed,rollout,20,20,-31.905559984923457,0.2410581250332214,0.0021538442446725,include_mixed,12.451705630979784
lj_noisy,25,20,20,-14.162361880116464,0.241499704814472,0.0041168599721615,123,exclude_mixed,rollout,20,20,-13.891282300116066,0.2309046924785488,0.0041168599721615,include_mixed,-0.2710795800003982
lj_noisy,50,20,20,-15.811551317140792,0.2739417665685745,0.0047651600463273,123,exclude_mixed,rollout,20,20,-10.3165102582759,0.2177472881810536,0.0047651600463273,include_mixed,-5.495041058864892
