model,dimension,seed,source,coordinate,n,pearson,spearman,coordinate_std
shared3,4,456,depablo_low_temp,pc4,20,-0.8472673474114202,-0.7157894736842104,0.01719040746937548
shared3,4,456,depablo_mixed_temp,z0,20,-0.383250114309246,-0.3443609022556391,0.08546598576007851
shared3,4,456,depablo_mixed_temp,z1,20,0.04097917743867978,0.15789473684210525,0.5848462000137947
shared3,4,456,depablo_mixed_temp,z2,20,-0.5578487970650639,-0.5699248120300752,0.08774108226572984
shared3,4,456,depablo_mixed_temp,z3,20,0.4250119626187995,0.4526315789473684,0.14178292470255024
shared3,4,456,depablo_mixed_temp,pc1,20,-0.09149914426585709,-0.193984962406015,0.5914394449048057
shared3,4,456,depablo_mixed_temp,pc2,20,0.4236079441670309,0.33533834586466166,0.15661264339342343
shared3,4,456,depablo_mixed_temp,pc3,20,0.28853102182923607,0.14887218045112782,0.05068932924477533
shared3,4,456,depablo_mixed_temp,pc4,20,-0.7181899001998319,-0.724812030075188,0.01590217588949997
shared3,4,456,reid,z0,20,0.35642512224375433,0.22255639097744356,0.04215569723667629
shared3,4,456,reid,z1,20,0.16138428076000305,0.06766917293233082,0.31712171438060277
shared3,4,456,reid,z2,20,0.31225582485516556,0.24962406015037594,0.052014767576279146
shared3,4,456,reid,z3,20,0.006143205453385632,-0.018045112781954885,0.07805623939330636
shared3,4,456,reid,pc1,20,-0.1317099265913705,-0.02706766917293233,0.323374503488988
shared3,4,456,reid,pc2,20,-0.44667665200979856,-0.37293233082706767,0.07447383893456999
shared3,4,456,reid,pc3,20,-0.4116190633871973,-0.3443609022556391,0.031041360502638882
shared3,4,456,reid,pc4,20,-0.6436691044595659,-0.631578947368421,0.007785480500386084
shared3,4,786,depablo_low_temp,z0,20,-0.22595616468226246,-0.14887218045112782,0.0681035708052814
shared3,4,786,depablo_low_temp,z1,20,0.6301285486439289,0.4781954887218045,0.24116924250043734
shared3,4,786,depablo_low_temp,z2,20,-0.5306303447182016,-0.3759398496240601,0.09993666250769774
shared3,4,786,depablo_low_temp,z3,20,-0.06018623643247233,0.05263157894736842,0.6437948516683563
shared3,4,786,depablo_low_temp,pc1,20,0.04424015283185789,-0.05263157894736842,0.630728897253756
shared3,4,786,depablo_low_temp,pc2,20,-0.5313685921091488,-0.3969924812030075,0.27099160402779504
shared3,4,786,depablo_low_temp,pc3,20,-0.6179612966681628,-0.49624060150375937,0.12636354412261205
shared3,4,786,depablo_low_temp,pc4,20,0.9504865778614541,0.8526315789473683,0.00606020757443201
shared3,4,786,depablo_mixed_temp,z0,20,0.03769507655607624,0.156390977443609,0.05797532788992994
shared3,4,786,depablo_mixed_temp,z1,20,0.3895404444381386,0.2827067669172932,0.21513064986481875
shared3,4,786,depablo_mixed_temp,z2,20,-0.21102907142554064,-0.08872180451127819,0.08189877492408744
shared3,4,786,depablo_mixed_temp,z3,20,0.15208755510406524,0.19097744360902258,0.6543032698373503
shared3,4,786,depablo_mixed_temp,pc1,20,-0.16126786042259955,-0.1969924812030075,0.6421842021729292
shared3,4,786,depablo_mixed_temp,pc2,20,-0.23954673424759276,-0.12330827067669171,0.23654510699196757
shared3,4,786,depablo_mixed_temp,pc3,20,-0.450933236620099,-0.3759398496240601,0.1268012993954855
shared3,4,786,depablo_mixed_temp,pc4,20,0.8812101618948586,0.8120300751879698,0.00546093526852344
shared3,4,786,reid,z0,20,-0.6852722419221946,-0.675187969924812,0.041085463062196445
shared3,4,786,reid,z1,20,-0.58725660659312,-0.6285714285714286,0.12727494691760588
shared3,4,786,reid,z2,20,0.1469135080981032,0.02706766917293233,0.04024330967439134
shared3,4,786,reid,z3,20,0.2152288945993743,0.09774436090225563,0.36018193217678646
shared3,4,786,reid,pc1,20,-0.21375152201448913,-0.0781954887218045,0.35323106275671357
shared3,4,786,reid,pc2,20,0.3795743210005789,0.3037593984962406,0.1271927308815214
shared3,4,786,reid,pc3,20,0.7279028879753947,0.7082706766917292,0.09101079409349717
shared3,4,786,reid,pc4,20,-0.887130727660999,-0.8481203007518796,0.0020835342721742594
shared3,6,123,depablo_low_temp,z0,20,0.6461734908397502,0.6646616541353383,0.030168097570838756
shared3,6,123,depablo_low_temp,z1,20,0.14868761100965497,0.3293233082706767,0.530524144064505
shared3,6,123,depablo_low_temp,z2,20,0.06731596099418426,-0.03308270676691729,0.14989227739022443
shared3,6,123,depablo_low_temp,z3,20,0.18603869985909768,0.39097744360902253,0.394184249622986
shared3,6,123,depablo_low_temp,z4,20,-0.17533897180252797,-0.3278195488721804,0.40988650160826406
shared3,6,123,depablo_low_temp,z5,20,-0.12022218617237039,0.04210526315789473,0.10242988545451717
shared3,6,123,depablo_low_temp,pc1,20,-0.15954137865244444,-0.3413533834586466,0.5866030250049987
shared3,6,123,depablo_low_temp,pc2,20,0.15020946632533155,0.2781954887218045,0.5407673110851866
shared3,6,123,depablo_low_temp,pc3,20,-0.9696337828831182,-0.918796992481203,0.04409987130743283
shared3,6,123,depablo_low_temp,pc4,20,0.9813265854166253,0.8932330827067668,0.008420975951207272
shared3,6,123,depablo_low_temp,pc5,20,0.9543604605827235,0.8105263157894737,0.011630521244352227
shared3,6,123,depablo_low_temp,pc6,20,-0.8560805228872043,-0.9127819548872179,0.005507353229280312
shared3,6,123,depablo_mixed_temp,z0,20,0.537311176801638,0.5458646616541353,0.03994364699308584
