source,dimension,seed,position_mse_shared3,position_mse_shared4,strain_x_mae_shared3,strain_x_mae_shared4,strain_y_mae_shared3,strain_y_mae_shared4,p_ratio_r2_shared3,p_ratio_r2_shared4,p_ratio_mae_shared3,p_ratio_mae_shared4,legacy_p_ratio_r2_shared3,legacy_p_ratio_r2_shared4,legacy_p_ratio_mae_shared3,legacy_p_ratio_mae_shared4,position_mse_shared4_minus_shared3,strain_x_mae_shared4_minus_shared3,strain_y_mae_shared4_minus_shared3,p_ratio_r2_shared4_minus_shared3,p_ratio_mae_shared4_minus_shared3,legacy_p_ratio_r2_shared4_minus_shared3,legacy_p_ratio_mae_shared4_minus_shared3
reid,2,123,6.882931336349429e-06,6.579830667874376e-06,0.0013768695,0.0012172896,0.00085963105,0.0004470991,0.8711901585261872,0.9670917450372516,0.0574272870551794,0.0294171172194182,0.8705799090715536,0.966927446932773,0.0575002079308133,0.0294555731100607,-3.0310066847505334e-07,-0.00015957989999999984,-0.00041253195000000005,0.0959015865110644,-0.028010169835761205,0.09634753786121941,-0.0280446348207526
reid,2,456,6.69790179017582e-06,6.740049164477568e-06,0.0015264462,0.0013576063,0.0006532611,0.0005351364,0.9542309485144082,0.9687843557609498,0.033263249869924,0.0255491985939443,0.9540404306169348,0.9687365655831912,0.0332948212301963,0.0255579479626588,4.2147374301747964e-08,-0.00016883989999999993,-0.00011812469999999996,0.014553407246541639,-0.007714051275979704,0.014696134966256436,-0.007736873267537501
reid,2,786,7.155916580359189e-06,6.9912169408326005e-06,0.0009767895,0.0015969842,0.0013731779,0.0006958102,0.7244277397919758,0.9008390839985172,0.0880138120613992,0.0485513522755354,0.7241940325510381,0.9006845074660573,0.0880917536552767,0.0485690945644702,-1.646996395265889e-07,0.0006201946999999999,-0.0006773677,0.17641134420654137,-0.0394624597858638,0.17649047491501924,-0.0395226590908065
reid,4,123,6.827526209463031e-06,7.107935493877448e-06,0.0011105869,0.0018673902,0.00090034667,0.001071073,0.8694297558889779,0.8683819590984068,0.0564053779235109,0.0617784225614741,0.8688022971470317,0.8690515174815723,0.056495921901152,0.0616714471003245,2.804092844144169e-07,0.0007568033,0.00017072633000000004,-0.0010477967905710983,0.0053730446379632035,0.00024922033454055637,0.005175525199172505
reid,4,456,6.883828365289446e-06,6.948951278218374e-06,0.0011008403,0.0014442832,0.0007148547,0.00057320396,0.9332355112056676,0.9306599432036384,0.040707038808614,0.0359810326248407,0.933540191128199,0.930611314208996,0.0406460162550902,0.0359849710913339,6.512291292892803e-08,0.0003434429000000001,-0.00014165074000000008,-0.0025755680020291827,-0.0047260061837733,-0.0029288769192029607,-0.004661045163756296
reid,4,786,7.016194868469938e-06,6.991264729094837e-06,0.0016375391,0.0015139356,0.000552789,0.0007622381,0.9542592106617728,0.9326179390701524,0.0290290879551321,0.0443684503494296,0.9542476142537966,0.9324009498495992,0.0290280374745458,0.0443895159358929,-2.4930139375101473e-08,-0.00012360349999999986,0.00020944909999999993,-0.021641271591620326,0.0153393623942975,-0.021846664404197358,0.0153614784613471
reid,6,123,6.818235402761275e-06,6.622731299898988e-06,0.0013572964,0.0009662793,0.0005055246,0.0004865111,0.964864175647209,0.9728110370999908,0.0313249837839976,0.0253134530968964,0.9647724064413514,0.9728962074534214,0.0313475994200104,0.0252857825857537,-1.9550410286228709e-07,-0.00039101709999999994,-1.9013500000000024e-05,0.007946861452781784,-0.006011530687101196,0.008123801012069998,-0.0060618168342566996
reid,6,456,6.809065286006444e-06,6.760799772109749e-06,0.0014497169,0.0014395637,0.0005621754,0.0004980363,0.9520690703761708,0.9670700044533838,0.0336760177742689,0.0230792872607707,0.95222701168507,0.966996324652291,0.033625555801764,0.0230858092826016,-4.826551389669425e-08,-1.015320000000001e-05,-6.413909999999998e-05,0.015000934077212924,-0.010596730513498201,0.01476931296722106,-0.010539746519162396
reid,6,786,6.652573767951253e-06,6.754743458259327e-06,0.0016311156,0.0015579168,0.00060987205,0.000567942,0.9396456718307448,0.955412934478432,0.0413375391974113,0.0358802955597639,0.9392579697003772,0.9552960516712892,0.0414282813215011,0.0359168849045227,1.0216969030807478e-07,-7.319880000000007e-05,-4.1930050000000044e-05,0.01576726264768724,-0.005457243637647401,0.016038081970911944,-0.005511396416978398
reid,8,123,6.909423564138706e-06,6.681080913040205e-06,0.0012649775,0.0011135098,0.00076292467,0.00045421493,0.9074376229962564,0.9650497534868464,0.0453920645872131,0.0294285946525633,0.9068070108300142,0.9649679199548432,0.0454976132921812,0.0294697765327114,-2.2834265109850043e-07,-0.00015146769999999999,-0.00030870974,0.05761213049059,-0.0159634699346498,0.05816090912482896,-0.016027836759469803
