source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,model,dimension,seed,training_scope
lj_noisy,100,ae,20,8.756697707212879e-06,9.808042545955686e-06,7.705352277298517e-06,20,20,-0.0758852050597362,0.0648140281438827,0.0053832740143763,20,20,-0.0898631243258571,0.0648113727752656,0.0053100823581802,0.0018314164,0.0011786117,lj_noisy,4,123,individual
lj_noisy,100,ae,20,8.596089878665225e-06,9.752706091603612e-06,7.439473961312615e-06,20,20,-0.0898827902379646,0.0661685600876808,0.0053832740143763,20,20,-0.1028077170527477,0.0661488771066433,0.0053100823581802,0.0013800102,0.0008473274,lj_noisy,4,456,individual
lj_noisy,100,ae,20,8.539968894183403e-06,9.724388019094476e-06,7.355549405474448e-06,20,20,-0.0881610392345575,0.0646802529692649,0.0053832740143763,20,20,-0.1006824178838872,0.0646549932286929,0.0053100823581802,0.0014579227,0.00095368165,lj_noisy,4,786,individual
lj_noisy,100,ae,20,8.56603903685027e-06,9.86425729934126e-06,7.267821456480306e-06,20,20,-0.1568468955298054,0.0662619486451149,0.0053832740143763,20,20,-0.1761225474399061,0.0663098383427456,0.0053100823581802,0.0017937465,0.00082686014,lj_noisy,6,123,individual
lj_noisy,100,ae,20,8.456500427200809e-06,9.523330913907557e-06,7.389669906388008e-06,20,20,-0.0505096365371751,0.0646323800086975,0.0053832740143763,20,20,-0.0641314457683521,0.0646227157659322,0.0053100823581802,0.0013831703,0.0008953388,lj_noisy,6,456,individual
lj_noisy,100,ae,20,8.484680461151583e-06,9.549766582495068e-06,7.419594487600989e-06,20,20,-0.1580571358493359,0.0661069735884666,0.0053832740143763,20,20,-0.1712818990466484,0.0660763768368457,0.0053100823581802,0.0014184972,0.00094785047,lj_noisy,6,786,individual
lj_noisy,100,ae,20,8.325993280777767e-06,9.545239515773574e-06,7.10674744368589e-06,20,20,-0.1027448915447821,0.062658779323101,0.0053832740143763,20,20,-0.1231732690846594,0.0627225853796711,0.0053100823581802,0.0015057407,0.00071235385,lj_noisy,8,123,individual
lj_noisy,100,ae,20,8.428661203652155e-06,9.621548110771984e-06,7.235774182845489e-06,20,20,-0.2154020709891073,0.066248881816864,0.0053832740143763,20,20,-0.2373967160866315,0.0663080792476514,0.0053100823581802,0.0016504576,0.0007432646,lj_noisy,8,456,individual
lj_noisy,100,ae,20,8.550515804017778e-06,9.728270310915831e-06,7.3727613653318255e-06,20,20,-0.0903344369059708,0.0650596603751182,0.0053832740143763,20,20,-0.1028940181824524,0.0650312180099644,0.0053100823581802,0.0014480427,0.0009483356,lj_noisy,8,786,individual
reid,100,ae,20,6.824524197668324e-06,1.0585422324993488e-05,3.0636256681759733e-06,20,20,0.9354136507060036,0.0404102503787726,0.0392620598956476,20,20,0.9353815667786542,0.0404504316322382,0.0392619338029476,0.0013335475,0.00063394994,reid,2,123,individual
reid,100,ae,20,7.462156889914695e-06,1.1819161164794422e-05,3.1051529447267965e-06,20,20,0.9167286117969832,0.047248860169202,0.0392620598956476,20,20,0.916669884214542,0.0472568627576263,0.0392619338029476,0.0022150218,0.0007730238,reid,2,456,individual
reid,100,ae,20,7.377001409736295e-06,1.1705284356366974e-05,3.048718352971491e-06,20,20,0.9615505712259896,0.0293733674334362,0.0392620598956476,20,20,0.961644020058638,0.0293695021563865,0.0392619338029476,0.0015649678,0.0005566989,reid,2,786,individual
reid,100,ae,20,6.86390980035867e-06,1.0715594538623918e-05,3.012225237597477e-06,20,20,0.9365650210009184,0.0404454148141667,0.0392620598956476,20,20,0.9366653024046008,0.0404506724469754,0.0392619338029476,0.0017532834,0.0006009781,reid,4,123,individual
reid,100,ae,20,7.76858308881856e-06,1.2306902101499871e-05,3.230263661180288e-06,20,20,0.9191575680766132,0.0436531315557658,0.0392620598956476,20,20,0.9191755001166536,0.0436276103070579,0.0392619338029476,0.0028160322,0.0009294901,reid,4,456,individual
reid,100,ae,20,6.9989389061220205e-06,1.0869906992638787e-05,3.12797084234262e-06,20,20,0.9174279799215974,0.045488847233355,0.0392620598956476,20,20,0.917488925212719,0.0454813803647886,0.0392619338029476,0.0015982892,0.0007245506,reid,4,786,individual
reid,100,ae,20,6.879096784473404e-06,1.071811306019299e-05,3.040080241589749e-06,20,20,0.9464876826184,0.0369329719804227,0.0392620598956476,20,20,0.9465648549110042,0.0369268417193094,0.0392619338029476,0.0018370859,0.00059186167,reid,6,123,individual
reid,100,ae,20,7.070177761647756e-06,1.1035721030339118e-05,3.1046345682739228e-06,20,20,0.960418352734444,0.0289796688593924,0.0392620598956476,20,20,0.9604481907250684,0.0289654670323404,0.0392619338029476,0.0022235448,0.0006414378,reid,6,456,individual
reid,100,ae,20,7.294643432942394e-06,1.142744908406712e-05,3.161838021981112e-06,20,20,0.9197476557487988,0.0445150676183402,0.0392620598956476,20,20,0.9198545573715244,0.0444709132531019,0.0392619338029476,0.0020684649,0.0008340265,reid,6,786,individual
reid,100,ae,20,6.945592369334009e-06,1.077013388908199e-05,3.121050913534873e-06,20,20,0.9287867708159078,0.0419929359108209,0.0392620598956476,20,20,0.9287562006285064,0.0420197889631552,0.0392619338029476,0.001737865,0.00052940845,reid,8,123,individual
reid,100,ae,20,7.410558129095079e-06,1.1771552300388066e-05,3.0495640793049008e-06,20,20,0.92826128939095,0.0405759129673242,0.0392620598956476,20,20,0.928242840589908,0.0405812080732533,0.0392619338029476,0.0018901844,0.0005880259,reid,8,456,individual
reid,100,ae,20,7.421077350500127e-06,1.179468635541525e-05,3.0474682404246778e-06,20,20,0.9340066702368464,0.04072653115727,0.0392620598956476,20,20,0.934250496297197,0.0406730671668473,0.0392619338029476,0.0023099717,0.00062440126,reid,8,786,individual
depablo_low_temp,100,ae,20,3.2595973465276986e-06,3.663343090920535e-06,2.8558516021348625e-06,20,20,0.9428653554161744,0.0706523083033971,0.1299516855584822,20,20,0.9430683621383656,0.070800976705928,0.1309363081666797,0.0011621237,0.0010952002,shared3,2,123,shared3
depablo_mixed_temp,100,ae,20,2.2345004771295864e-05,2.2862711608695464e-05,2.1827296200171987e-05,20,20,0.94113632577627,0.0696972010657191,0.1249158133632106,20,20,0.9411001978894034,0.0700588204480846,0.1264354805514444,0.0019384425,0.0010061251,shared3,2,123,shared3
reid,100,ae,20,6.882931336349429e-06,1.0191391123726134e-05,3.5744719838248783e-06,20,20,0.8711901585261872,0.0574272870551794,0.0392620598956476,20,20,0.8705799090715536,0.0575002079308133,0.0392619338029476,0.0013768695,0.00085963105,shared3,2,123,shared3
depablo_low_temp,100,ae,20,3.294321490443508e-06,3.872363259915801e-06,2.716279882974959e-06,20,20,0.9711267766937554,0.0467475857585668,0.1299516855584822,20,20,0.9713463265876504,0.0467829922394669,0.1309363081666797,0.0013977101,0.0011158917,shared3,2,456,shared3
depablo_mixed_temp,100,ae,20,2.255649158655615e-05,2.2534744380209305e-05,2.257823790046132e-05,20,20,0.8325201946617491,0.1148829216137528,0.1249158133632106,20,20,0.8314883041764298,0.115688209435727,0.1264354805514444,0.0018122712,0.001658963,shared3,2,456,shared3
reid,100,ae,20,6.69790179017582e-06,1.0086362374295275e-05,3.3094416082235512e-06,20,20,0.9542309485144082,0.033263249869924,0.0392620598956476,20,20,0.9540404306169348,0.0332948212301963,0.0392619338029476,0.0015264462,0.0006532611,shared3,2,456,shared3
depablo_low_temp,100,ae,20,3.1772125623774627e-06,3.360830822884964e-06,2.9935941228131924e-06,20,20,0.923128532502698,0.0854870134964585,0.1299516855584822,20,20,0.923534741895714,0.0856419966082626,0.1309363081666797,0.001183708,0.00152261,shared3,2,786,shared3
depablo_mixed_temp,100,ae,20,2.2819518159167272e-05,2.3648120850339184e-05,2.1990913944591738e-05,20,20,0.6240798851368548,0.1211898373439908,0.1249158133632106,20,20,0.8942289429902732,0.0825035721668358,0.1264354805514444,0.002227859,0.0012623905,shared3,2,786,shared3
reid,100,ae,20,7.155916580359189e-06,1.0152563680776438e-05,4.159269442993718e-06,20,20,0.7244277397919758,0.0880138120613992,0.0392620598956476,20,20,0.7241940325510381,0.0880917536552767,0.0392619338029476,0.0009767895,0.0013731779,shared3,2,786,shared3
depablo_low_temp,100,ae,20,3.058473973283071e-06,3.5234939645079067e-06,2.59345394937327e-06,20,20,0.953113771166152,0.0612228829879313,0.1299516855584822,20,20,0.953259106181396,0.0613748554951196,0.1309363081666797,0.0011887541,0.0010638639,shared3,4,123,shared3
depablo_mixed_temp,100,ae,20,2.2427563050086973e-05,2.328671167219909e-05,2.156841389080455e-05,20,20,0.9306108236419792,0.0636954859830439,0.1249158133632106,20,20,0.930662829630147,0.0640079178896656,0.1264354805514444,0.0019297668,0.00090097095,shared3,4,123,shared3
reid,100,ae,20,6.827526209463031e-06,1.0010447834929436e-05,3.644604727526257e-06,20,20,0.8694297558889779,0.0564053779235109,0.0392620598956476,20,20,0.8688022971470317,0.056495921901152,0.0392619338029476,0.0011105869,0.00090034667,shared3,4,123,shared3
depablo_low_temp,100,ae,20,3.21009877097822e-06,3.71285862570403e-06,2.707339106677864e-06,20,20,0.9578320275926164,0.062268029898405,0.1299516855584822,20,20,0.9582702250947784,0.0623452263423057,0.1309363081666797,0.0010621672,0.001121869,shared3,4,456,shared3
depablo_mixed_temp,100,ae,20,2.2847588491003988e-05,2.2577994377570577e-05,2.3117183417298293e-05,20,20,0.7869685832307038,0.1194078980013728,0.1249158133632106,20,20,0.8256912058255416,0.1132211461740089,0.1264354805514444,0.001140036,0.0018064169,shared3,4,456,shared3
reid,100,ae,20,6.883828365289446e-06,1.0491423029179716e-05,3.27623394866805e-06,20,20,0.9332355112056676,0.040707038808614,0.0392620598956476,20,20,0.933540191128199,0.0406460162550902,0.0392619338029476,0.0011008403,0.0007148547,shared3,4,456,shared3
depablo_low_temp,100,ae,20,3.3038380465200136e-06,4.051243595881715e-06,2.556432357891936e-06,20,20,0.9859093753731216,0.0358585618436336,0.1299516855584822,20,20,0.9858957458788414,0.0359940878051568,0.1309363081666797,0.001955697,0.00090046506,shared3,4,786,shared3
depablo_mixed_temp,100,ae,20,2.3280119734181422e-05,2.272977796451414e-05,2.383046206659856e-05,20,20,0.6901816537877321,0.1253163805231452,0.1249158133632106,20,20,0.8122789670775508,0.1056644176021005,0.1264354805514444,0.0018379133,0.0018113147,shared3,4,786,shared3
reid,100,ae,20,7.016194868469938e-06,1.068570384177292e-05,3.34668585963982e-06,20,20,0.9542592106617728,0.0290290879551321,0.0392620598956476,20,20,0.9542476142537966,0.0290280374745458,0.0392619338029476,0.0016375391,0.000552789,shared3,4,786,shared3
depablo_low_temp,100,ae,20,3.123313329922439e-06,3.452748640597747e-06,2.7938779680880543e-06,20,20,0.9314541940025484,0.0717956687323749,0.1299516855584822,20,20,0.9317034227592867,0.0719791475880349,0.1309363081666797,0.0011816885,0.0013355175,shared3,6,123,shared3
depablo_mixed_temp,100,ae,20,2.2543107206729477e-05,2.307727845050067e-05,2.2008935223993832e-05,20,20,0.9041242499002884,0.0742915625683963,0.1249158133632106,20,20,0.9039615746018936,0.0746909823653977,0.1264354805514444,0.0017896078,0.0011030396,shared3,6,123,shared3
reid,100,ae,20,6.818235402761275e-06,1.046881510546882e-05,3.1676558748472417e-06,20,20,0.964864175647209,0.0313249837839976,0.0392620598956476,20,20,0.9647724064413514,0.0313475994200104,0.0392619338029476,0.0013572964,0.0005055246,shared3,6,123,shared3
depablo_low_temp,100,ae,20,3.2931412818015816e-06,4.035486404063704e-06,2.5507963357540577e-06,20,20,0.9897417284573652,0.0299074824899435,0.1299516855584822,20,20,0.989856959969196,0.0299343882156318,0.1309363081666797,0.0014599832,0.0008270329,shared3,6,456,shared3
depablo_mixed_temp,100,ae,20,2.281428908190719e-05,2.239225041194004e-05,2.323632677416754e-05,20,20,0.8097176896918683,0.1023322589695453,0.1249158133632106,20,20,0.841910865691806,0.0971970100588818,0.1264354805514444,0.0014950832,0.001605395,shared3,6,456,shared3
reid,100,ae,20,6.809065286006444e-06,1.0442281450195878e-05,3.1758487367028467e-06,20,20,0.9520690703761708,0.0336760177742689,0.0392620598956476,20,20,0.95222701168507,0.033625555801764,0.0392619338029476,0.0014497169,0.0005621754,shared3,6,456,shared3
depablo_low_temp,100,ae,20,2.7594842237022022e-06,3.2318830875510683e-06,2.28708537122202e-06,20,20,0.979549444433748,0.042470976896584,0.1299516855584822,20,20,0.9796301299229286,0.0425534440290985,0.1309363081666797,0.0012427741,0.0008506974,shared3,6,786,shared3
depablo_mixed_temp,100,ae,20,2.3211909973497316e-05,2.394845266167067e-05,2.2475367276797443e-05,20,20,0.8850658686904416,0.0727320516481995,0.1249158133632106,20,20,0.8839256537866591,0.0733214378865374,0.1264354805514444,0.0020102295,0.00067411,shared3,6,786,shared3
reid,100,ae,20,6.652573767951253e-06,1.0059136479867448e-05,3.24601112140499e-06,20,20,0.9396456718307448,0.0413375391974113,0.0392620598956476,20,20,0.9392579697003772,0.0414282813215011,0.0392619338029476,0.0016311156,0.00060987205,shared3,6,786,shared3
depablo_low_temp,100,ae,20,3.1448565010805395e-06,3.555680038402897e-06,2.734033151341464e-06,20,20,0.9398622035252384,0.0688418379984796,0.1299516855584822,20,20,0.9399913725059602,0.0690567853689686,0.1309363081666797,0.0014502185,0.0012036405,shared3,8,123,shared3
depablo_mixed_temp,100,ae,20,2.2459118395090623e-05,2.325814452888153e-05,2.166009276152181e-05,20,20,0.9174410664303656,0.06548319645226,0.1249158133632106,20,20,0.9172247150380052,0.0658265497350112,0.1264354805514444,0.0021767032,0.0010112359,shared3,8,123,shared3
reid,100,ae,20,6.909423564138706e-06,1.0365263744915864e-05,3.453583045143205e-06,20,20,0.9074376229962564,0.0453920645872131,0.0392620598956476,20,20,0.9068070108300142,0.0454976132921812,0.0392619338029476,0.0012649775,0.00076292467,shared3,8,123,shared3
depablo_low_temp,100,ae,20,3.04072620167517e-06,3.600266146008835e-06,2.481186332659036e-06,20,20,0.9718593903850206,0.0431368831545114,0.1299516855584822,20,20,0.972133221735755,0.0431760982701438,0.1309363081666797,0.001298479,0.0009836566,shared3,8,456,shared3
depablo_mixed_temp,100,ae,20,2.267756709670721e-05,2.191636210682191e-05,2.3438772956296816e-05,20,20,0.7766068709452176,0.1165398227982223,0.1249158133632106,20,20,0.8072171534138535,0.111808162132822,0.1264354805514444,0.0015577747,0.0017131541,shared3,8,456,shared3
reid,100,ae,20,6.57074618857223e-06,1.0037959680175845e-05,3.1035326358619385e-06,20,20,0.941816102050912,0.0399651709012687,0.0392620598956476,20,20,0.9418217356017894,0.0399603063236559,0.0392619338029476,0.0012776764,0.0007029249,shared3,8,456,shared3
depablo_low_temp,100,ae,20,2.845394260475587e-06,3.2759602930809708e-06,2.4148281255520486e-06,20,20,0.9791584575491988,0.0437990503385663,0.1299516855584822,20,20,0.979181315402578,0.0439439689186519,0.1309363081666797,0.0009072494,0.0008302166,shared3,8,786,shared3
depablo_mixed_temp,100,ae,20,2.2645317585556768e-05,2.370363119439389e-05,2.158700422683069e-05,20,20,0.4259350038170456,0.1158122777938842,0.1249158133632106,20,20,0.9238259905289258,0.063820367217254,0.1264354805514444,0.002160369,0.0009490085,shared3,8,786,shared3
reid,100,ae,20,6.727994653488168e-06,1.0137733005421978e-05,3.318256094075877e-06,20,20,0.9463408018901196,0.0403539011254906,0.0392620598956476,20,20,0.9462652729872524,0.0403695985446464,0.0392619338029476,0.0013960022,0.00059755903,shared3,8,786,shared3
depablo_low_temp,100,ae,20,2.8649204182329413e-06,3.2358469695736857e-06,2.4939938754187096e-06,20,20,0.9876333982889904,0.0313060268759727,0.1299516855584822,20,20,0.987586771658027,0.0314314974934136,0.1309363081666797,0.0011242514,0.00046912726,shared4,2,123,shared4
depablo_mixed_temp,100,ae,20,2.2075296487855667e-05,2.185618586167948e-05,2.2294406244327546e-05,20,20,0.9252421582460988,0.0704895410686731,0.1249158133632106,20,20,0.9254260956047976,0.0708466371366002,0.1264354805514444,0.0015891644,0.0010761693,shared4,2,123,shared4
lj_noisy,100,ae,20,7.9623182045907e-06,8.84431956365006e-06,7.08031686826871e-06,20,20,0.497403022484446,0.0433818705379962,0.0053832740143763,20,20,0.4896133324139401,0.0433840804582767,0.0053100823581802,0.0009122699,0.0004744309,shared4,2,123,shared4
reid,100,ae,20,6.579830667874376e-06,9.955004219364128e-06,3.204657349442641e-06,20,20,0.9670917450372516,0.0294171172194182,0.0392620598956476,20,20,0.966927446932773,0.0294555731100607,0.0392619338029476,0.0012172896,0.0004470991,shared4,2,123,shared4
depablo_low_temp,100,ae,20,3.260155170892176e-06,3.606005125789125e-06,2.9143050596758256e-06,20,20,0.9757395459127328,0.0393380962312221,0.1299516855584822,20,20,0.976016479099152,0.0393945707446529,0.1309363081666797,0.0013730715,0.00085647515,shared4,2,456,shared4
depablo_mixed_temp,100,ae,20,2.3031214607271976e-05,2.275420237651815e-05,2.33082262610651e-05,20,20,0.8694973376140145,0.0936966134235262,0.1249158133632106,20,20,0.8685913064602162,0.0943520570891513,0.1264354805514444,0.0012340897,0.0015401575,shared4,2,456,shared4
lj_noisy,100,ae,20,8.166180464286299e-06,9.264954587706598e-06,7.067406568239676e-06,20,20,0.3827443360854288,0.0466316103935241,0.0053832740143763,20,20,0.3735634345323825,0.0466361468348152,0.0053100823581802,0.0010847982,0.000815719,shared4,2,456,shared4
