source,training_scope,dimension,position_mse_mean,position_mse_std,strain_x_mae_mean,strain_x_mae_std,strain_y_mae_mean,strain_y_mae_std,p_ratio_r2_mean,p_ratio_r2_std,p_ratio_mae_mean,p_ratio_mae_std,legacy_p_ratio_r2_mean,legacy_p_ratio_r2_std,legacy_p_ratio_mae_mean,legacy_p_ratio_mae_std
depablo_mixed_temp,shared4,6,2.2855898216297043e-05,3.051820864689447e-07,0.0018988116000000002,0.00040207407666632784,0.0011775052166666667,0.0004200594135783184,0.9023524023814224,0.06731011208300475,0.07600613037745153,0.026827509425969592,0.9078865558661802,0.05838273302997471,0.07544911270216766,0.025454189928575285
depablo_mixed_temp,shared4,8,2.2483690020180803e-05,9.338086967507743e-07,0.0015938978333333333,0.00020042684946706442,0.0011706343166666667,0.0004982224888904363,0.8819260692567142,0.1050603363966865,0.08142413248618437,0.0319352586192951,0.9106139320639337,0.05559196356238082,0.07696726805972827,0.023654325889292054
lj_noisy,individual,2,8.454270232505222e-06,5.982552294856793e-08,0.0015708630333333333,0.00011102978661126633,0.0007003892166666668,0.00019190866855203764,-0.0519734270508008,0.041591162086408916,0.06215289682149883,0.003927790857744254,-0.07112711098732877,0.0397579334445269,0.06221626866312887,0.0038891876856635213
lj_noisy,individual,4,8.630918826687168e-06,1.1248393802907156e-07,0.0015564497666666667,0.00024129354839917157,0.0009932069166666668,0.0001691419725716413,-0.08464301151075276,0.00763318328120934,0.0652209470669428,0.0008233782709910137,-0.097784419754164,0.006941859627374835,0.06520508103686727,0.0008210827647929804
lj_noisy,individual,6,8.50240664173422e-06,5.688004799154589e-08,0.0015318046666666666,0.00022753492150310334,0.00089001647,6.067050672154388e-05,-0.12180455597210547,0.061746176588778866,0.06566710074742634,0.0008994384761685651,-0.13717863075163553,0.06330700115076775,0.06566964364850784,0.000914149638828341
lj_noisy,individual,8,8.4350567628159e-06,1.123978124488111e-07,0.0015347470000000002,0.0001042783391470634,0.0008013180166666667,0.00012825558846799162,-0.13616046647995342,0.06890521576756267,0.06465577383836107,0.0018288116988528645,-0.15448800111791444,0.07251346955987999,0.06468729421242897,0.0018173206247700233
lj_noisy,shared4,2,8.213064340149383e-06,2.771780528942335e-07,0.0011176858,0.00022368040182235458,0.0007390553466666666,0.00023583116137032128,0.3296582355346292,0.19965310978649806,0.0479663821558157,0.005377605329763077,0.3203985661900777,0.20113781619058246,0.04796087736422686,0.005363301546817915
lj_noisy,shared4,4,8.474146776885997e-06,4.1508981334751343e-07,0.0012053654999999999,0.00015511450259511514,0.0008990543533333333,7.874503447537841e-05,-0.3977414050355385,0.7802659711386467,0.06527464191118873,0.014202537916503737,-0.41404140619453084,0.7839146010610759,0.06525725155020363,0.014162197610220792
lj_noisy,shared4,6,8.22464319298888e-06,7.96544061898506e-08,0.0011641604,0.00010796208067182663,0.0007429272966666666,6.362208070478542e-05,0.23397358093172194,0.07628863665309633,0.051355365415414134,0.004932604184917246,0.22431454304034693,0.07679116685685623,0.05132979055458187,0.004902158249965106
lj_noisy,shared4,8,8.194000884031993e-06,1.2075015486774862e-07,0.0011381765,0.00019405916415608925,0.0007133926433333333,0.00015970409287305453,0.35062143747582786,0.08304232126354706,0.04539884229501084,0.0013960298302192076,0.3414967991012534,0.08297154389623353,0.0454163446905117,0.001415315635037017
reid,individual,2,7.221227499106438e-06,3.4618347155811444e-07,0.0017045123666666667,0.0004570051968575011,0.0006545575466666667,0.00010962490902800573,0.9378976112429921,0.022513985802737453,0.0390108259938036,0.00901953998791171,0.9378984903506113,0.022592463387844756,0.039025598848750336,0.009028401224213108
