source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,seed
reid,25,20,20,20,0.6062514349488968,0.0938539394898229,0.0340742914742546,7.630092781596432e-07,0.0012685509165748,0.0003851117973681,dimension6,3456456
reid,50,20,20,20,0.8657103936167688,0.056510464947858,0.03674579830514,1.6565804301649225e-06,0.0009253391064703,0.0003497248326311,dimension6,3456456
reid,75,20,20,20,0.8905030387749124,0.0527080611335019,0.0381454871288846,3.802834726229776e-06,0.0012662682682275,0.000503981517977,dimension6,3456456
reid,100,20,20,20,0.6954159832815572,0.0894513461090833,0.0392619338029476,9.087622288461716e-06,0.0027874098625034,0.0013336592877749,dimension6,3456456
depablo_low_temp,5,20,20,20,0.5959034716278044,0.1344695314752451,0.0635535199374179,2.298732513006385e-07,0.0008469599386444,0.0002561396810051,dimension6,123
depablo_low_temp,10,20,20,20,0.7897204953611242,0.1172915364214966,0.0890919672458267,1.971991608229473e-07,0.0007927342841867,0.0002463666853145,dimension6,123
depablo_low_temp,25,20,20,20,0.9086834435165768,0.0831098905880393,0.1113451632350467,2.757529411923088e-07,0.0008037204504944,0.0002956131706014,dimension6,123
depablo_low_temp,50,20,20,20,0.966906017307291,0.0457216609131009,0.121923909291221,6.576958977433378e-07,0.0007275313371792,0.0003330211649881,dimension6,123
depablo_low_temp,75,20,20,20,0.9777850587573051,0.0421797855994217,0.1271388104990921,1.6098613258463956e-06,0.001106192311272,0.0005719522538129,dimension6,123
depablo_low_temp,100,20,20,20,0.9756883035478624,0.048812605836207,0.1309363081666797,3.139139664654067e-06,0.0014458036515861,0.0007744116155663,dimension6,123
depablo_mixed_temp,5,20,20,20,0.4072229583934142,0.2905457528379754,0.2267994575756468,2.463166586750276e-05,0.0049751685204682,0.0009044674508913,dimension6,123
depablo_mixed_temp,10,20,20,20,0.4588321050894928,0.2381217797729309,0.1792210970466572,2.7530228993555284e-05,0.0051355108240386,0.0006550393976795,dimension6,123
depablo_mixed_temp,25,20,20,20,0.4854864704493553,0.2304620583042421,0.1814265265332104,3.1435101128352017e-05,0.0054261438432149,0.0006627763868891,dimension6,123
depablo_mixed_temp,50,20,20,20,0.6833929236998446,0.1441075446996938,0.1290510646927359,2.706399861835962e-05,0.0046576786786317,0.001109366028686,dimension6,123
depablo_mixed_temp,75,20,20,20,0.7047497593053562,0.1276117912111016,0.1721180025747532,2.692383905298357e-05,0.0041931862477213,0.0015091293404111,dimension6,123
depablo_mixed_temp,100,20,20,20,0.8169076081194475,0.093273770254439,0.1264354805514444,3.3990439038689144e-05,0.0044016722589731,0.0016432865755632,dimension6,123
lj_noisy,5,20,20,20,-9.097844474690858,0.081370646546655,0.0012192600578043,1.490098298972953e-07,0.0007346209691604,0.0002456629918015,dimension6,123
lj_noisy,10,20,20,20,-3.5356620386055235,0.0703448796636111,0.0021538442446725,1.0559556908873448e-07,0.0004250739701092,0.0002091669724904,dimension6,123
lj_noisy,25,20,20,20,-0.5416377412578968,0.0600468043252511,0.0041168599721615,3.668147670055078e-07,0.0005103236646391,0.0002755503694061,dimension6,123
lj_noisy,50,20,20,20,0.1428572993158301,0.0533761826551005,0.0047651600463273,1.6874903735697445e-06,0.0006152270827442,0.0003406680654734,dimension6,123
lj_noisy,75,20,20,20,0.2337663964533159,0.0539333162902814,0.0050961142073924,4.355958844826091e-06,0.0008118253201246,0.0004751464352011,dimension6,123
lj_noisy,100,20,20,20,-0.0993049302741195,0.0603630294041608,0.0053100823581802,8.638625718049298e-06,0.001247208379209,0.0007372370571829,dimension6,123
reid,5,20,20,20,-1.799421962377727,0.2084770576390051,0.0215407678341569,4.639584652021966e-08,0.0003549384477082,0.0002426849619951,dimension6,123
reid,10,20,20,20,-1.0057176640899987,0.2031911064635729,0.0283466184553629,8.33482047601919e-08,0.0003267307067289,0.0003774367534788,dimension6,123
reid,25,20,20,20,0.4868256617343184,0.1157424998080099,0.0340742914742546,3.796274645750941e-07,0.0004946441506035,0.0004866839633905,dimension6,123
reid,50,20,20,20,0.9280694045070522,0.043011857017048,0.03674579830514,1.4511150666862703e-06,0.0005861966172233,0.0002870980322768,dimension6,123
reid,75,20,20,20,0.9602379616080412,0.0309714827367024,0.0381454871288846,3.53512894122332e-06,0.0008451010566204,0.0002983405385748,dimension6,123
reid,100,20,20,20,0.9537700679959866,0.0338920748845007,0.0392619338029476,7.039846485668022e-06,0.0012587499339133,0.0004476994625292,dimension6,123
depablo_low_temp,5,20,20,20,0.2505586851400266,0.202167764346519,0.0635535199374179,1.4174628148566626e-06,0.0026748056756332,0.0001702882353129,dimension6,456
depablo_low_temp,10,20,20,20,0.5116990194439248,0.1948702482480215,0.0890919672458267,9.597516200443578e-07,0.0020997278625145,0.0002108869768562,dimension6,456
depablo_low_temp,25,20,20,20,0.8842822442356572,0.1040610377697973,0.1113451632350467,4.393455299123161e-07,0.0010665337904356,0.0003332252192194,dimension6,456
depablo_low_temp,50,20,20,20,0.9733830615734864,0.0460580162569426,0.121923909291221,8.746114410485006e-07,0.0010670357383787,0.0003953398874728,dimension6,456
depablo_low_temp,75,20,20,20,0.970598144848492,0.0485506344686789,0.1271388104990921,1.9337813284892035e-06,0.0014707058202475,0.0005005659651942,dimension6,456
depablo_low_temp,100,20,20,20,0.9581616281381088,0.0552524291793156,0.1309363081666797,4.2050346422684015e-06,0.0025495204608887,0.0011793202662374,dimension6,456
depablo_mixed_temp,5,20,20,20,-0.1366632474182956,0.4311381977100213,0.2267994575756468,0.000227157931306,0.0184708923916332,0.003865854012838,dimension6,456
depablo_mixed_temp,10,20,20,20,-0.172914249227021,0.3875700240106293,0.1792210970466572,0.0001896071323599,0.0175089022959582,0.0045537811980466,dimension6,456
depablo_mixed_temp,25,20,20,20,-0.1796430965123325,0.3389307474868441,0.1814265265332104,0.0001149994900785,0.0134925355552695,0.0034654620074434,dimension6,456
depablo_mixed_temp,50,20,20,20,0.1537379909155464,0.2273972874931201,0.1290510646927359,9.307947448746745e-05,0.0116038948530331,0.0029334867358556,dimension6,456
depablo_mixed_temp,75,20,20,20,-0.0984297465221273,0.3004152441602067,0.1721180025747532,0.0001034348350003,0.0106973237823694,0.0045497344006435,dimension6,456
depablo_mixed_temp,100,20,20,20,-0.0240277031616187,0.2616717324708663,0.1264354805514444,0.0001056478223517,0.0088145690970122,0.005083642352838,dimension6,456
lj_noisy,5,20,20,20,-28.04341258988971,0.1747841737774116,0.0012192600578043,8.588401215092744e-07,0.002140768431127,0.0003423763308092,dimension6,456
lj_noisy,10,20,20,20,-12.12248585108079,0.1539469254905958,0.0021538442446725,5.501300073262883e-07,0.0016402796609327,0.0002509070196538,dimension6,456
lj_noisy,25,20,20,20,-2.461232972226986,0.1008369917022197,0.0041168599721615,4.526582586095174e-07,0.000676276627928,0.0003611973690567,dimension6,456
lj_noisy,50,20,20,20,-0.5982502430015952,0.0670734579167495,0.0047651600463273,2.1973282855469733e-06,0.0013124777004122,0.0007006036583334,dimension6,456
lj_noisy,75,20,20,20,-0.447217500478775,0.0649059725670563,0.0050961142073924,5.384125211094215e-06,0.0016972677549347,0.0009174900478683,dimension6,456
