variant,source,frame,seeds,r2_mean,r2_std,r2_min,position_mse,strain_x_mae,strain_y_mae,p_ratio_mae,valid_min,total_min
dimension8,depablo_low_temp,75,5,0.9651515191154572,0.024240365680158187,0.9343204562244194,1.714002537056558e-06,0.0011197915114462,0.00064420340757348,0.04504087568211522,20,20
dimension8,depablo_low_temp,100,5,0.9432918074156385,0.04123729072333891,0.893632409511283,3.620096206873313e-06,0.00177045641466972,0.00096383663767476,0.05832126385883908,20,20
dimension8,depablo_mixed_temp,5,5,0.010626688720499423,0.30939573059396525,-0.3220088206943881,4.027678289119763e-05,0.00751221304002678,0.00213645167110364,0.37703720902734406,20,20
dimension8,depablo_mixed_temp,10,5,0.11701953538211587,0.314438664213625,-0.2882255198056023,5.010506159635498e-05,0.00796673539793114,0.0022532179205518002,0.2817854198483797,20,20
dimension8,depablo_mixed_temp,25,5,0.14489888433782178,0.33401939387896,-0.3606493291327688,4.469276216639173e-05,0.007681913869455439,0.00205537361965976,0.2633471556340858,20,20
dimension8,depablo_mixed_temp,50,5,0.4818674676872131,0.24561439498139215,0.2411552912081834,4.4825200941716044e-05,0.00681094423867758,0.0024966501623566403,0.17992871293849638,20,20
dimension8,depablo_mixed_temp,75,5,0.38577722506248924,0.48374956709225225,-0.3016178577200796,4.171090954571355e-05,0.0057728821970522,0.00245399550898576,0.18445247668104886,20,20
dimension8,depablo_mixed_temp,100,5,0.457005746635567,0.3737056660705622,-0.0033439817768592,4.85982123609574e-05,0.00580405001528556,0.00278965378704008,0.15332138007737237,20,20
dimension8,lj_noisy,5,5,-27.487343694770146,30.481084241125263,-81.39173056271859,9.188039982621631e-08,0.0005382476455997201,0.0002104086520557414,0.13328859829573972,20,20
dimension8,lj_noisy,10,5,-6.761250976083614,6.469601715482224,-18.193564929648048,7.746794981500216e-08,0.00037717001687264,0.00019766329758561999,0.09765304297083503,20,20
dimension8,lj_noisy,25,5,-0.36852294386095824,0.522589568995484,-0.9334806214258228,3.68488397270994e-07,0.00045248321956019993,0.0002540958259487,0.06005202453968552,20,20
dimension8,lj_noisy,50,5,0.17127700380555475,0.16927309602072924,0.0111724403444063,1.7390373642456326e-06,0.00071426711045202,0.00032515673199662,0.05132463219741958,20,20
dimension8,lj_noisy,75,5,0.20927107364385122,0.1706760814499136,-0.0003911394707554,4.443067114152655e-06,0.00096397987101222,0.00043530127150002,0.0524380494467487,20,20
dimension8,lj_noisy,100,5,-0.17045197843999343,0.6203256331920792,-1.159586144368213,8.89921188900189e-06,0.0013735811039805,0.00066951944492752,0.05957164664691357,20,20
dimension8,reid,5,5,-2.7584916025943347,2.184312193216116,-6.65609752440348,3.705163747369511e-08,0.00026824418862812,0.00019766371591682002,0.22816680949378174,20,20
dimension8,reid,10,5,-0.34602712122687584,0.41244584764615405,-0.9419315916202008,7.795855995418323e-08,0.00031964650435833996,0.0002624799515342,0.16151525402297412,20,20
dimension8,reid,25,5,0.7021333577790829,0.15447683649471963,0.5313101113496039,3.5336384549111707e-07,0.0004728964017703599,0.00031962564069540003,0.08116303530069864,20,20
dimension8,reid,50,5,0.8962370293274005,0.05385357298719578,0.8106805897612934,1.5235881728870025e-06,0.00072816611733282,0.00033370052406094,0.046383352820743615,20,20
dimension8,reid,75,5,0.9335103808110732,0.0405842329826011,0.8735996658998617,3.733063475408471e-06,0.00101487719453868,0.00044065760943333995,0.03723248613360336,20,20
dimension8,reid,100,5,0.9154732820717493,0.08346096411434725,0.7705976040496958,7.693835553368444e-06,0.00169940634630616,0.0006174236378865,0.0403789026185521,20,20
