source,split,index,original_index,target,z0_0,z0_1,z1_0,z1_1,z5_0,z5_1
depablo_mixed_temp,calibration,24,3,-0.5306975481373464,-1.8781386613845825,-1.2561739683151245,-1.9592832326889038,-1.326675295829773,-1.9330930709838867,-1.5116209983825684
depablo_mixed_temp,calibration,25,151,-0.5617702163313278,-1.7593863010406494,-1.59617018699646,-1.1944503784179688,-1.2254317998886108,-2.1743478775024414,-1.9929978847503662
depablo_mixed_temp,calibration,26,160,0.07192234309910783,-1.784363031387329,-1.8724966049194336,-2.011437177658081,-1.6570568084716797,-1.8773915767669678,-1.806565523147583
depablo_mixed_temp,calibration,27,0,-0.4558721303293883,-2.0373947620391846,-0.911370038986206,-1.819096326828003,-0.8748566508293152,-1.9771721363067627,-1.1391000747680664
depablo_mixed_temp,calibration,28,157,0.2816505561721126,-1.7476773262023926,-1.778024435043335,-2.4212515354156494,-1.8088959455490112,-1.7541135549545288,-2.0784502029418945
depablo_mixed_temp,calibration,29,171,0.12269577325680238,-2.189305543899536,-2.050366163253784,-3.0446503162384033,-2.544198513031006,-3.2964298725128174,-2.224616050720215
reid,validation,0,41,-0.18592425216111444,-1.8336341381072998,-1.4350991249084473,-1.8144630193710327,-1.4770166873931885,-1.8314695358276367,-1.7028145790100098
reid,validation,1,49,-0.2484001931039763,-1.9453073740005493,-2.187992572784424,-1.9237900972366333,-2.2239468097686768,-1.885241150856018,-2.405989408493042
reid,validation,2,25,-0.28991646558045975,-1.8260432481765747,-2.3363265991210938,-1.803866982460022,-2.3739802837371826,-1.7788947820663452,-2.572319746017456
reid,validation,3,93,0.3825341810561535,-1.9416146278381348,-0.856051504611969,-1.903928518295288,-0.8865575194358826,-1.7441706657409668,-1.0039407014846802
reid,validation,4,84,0.14636191878411464,-1.897287368774414,-1.5393333435058594,-1.8735682964324951,-1.576521396636963,-1.7918059825897217,-1.7320342063903809
reid,validation,5,96,0.07854721632176512,-1.8325800895690918,-1.2840532064437866,-1.8093910217285156,-1.3223100900650024,-1.7406153678894043,-1.4886679649353027
reid,validation,6,97,0.18236543442222877,-1.7995108366012573,-1.4446287155151367,-1.7727270126342773,-1.4798765182495117,-1.6708528995513916,-1.6232852935791016
reid,validation,7,13,-0.10703920413861479,-1.9904422760009766,-1.973101019859314,-1.9702588319778442,-2.0109572410583496,-1.9334553480148315,-2.1946396827697754
reid,validation,8,28,-0.19039293431334223,-1.7178094387054443,-2.003288507461548,-1.6970372200012207,-2.04400897026062,-1.6896281242370605,-2.252776622772217
reid,validation,9,52,0.27865945466096903,-1.915515661239624,-1.9716434478759766,-1.8859267234802246,-2.0027718544006348,-1.7630021572113037,-2.1245720386505127
reid,validation,10,59,0.16522835509854775,-1.8100547790527344,-2.044670820236206,-1.7837390899658203,-2.078564167022705,-1.6793041229248047,-2.217501640319824
reid,validation,11,57,0.031051700932745487,-1.86210036277771,-2.2295727729797363,-1.8392850160598755,-2.265544891357422,-1.7673864364624023,-2.4253787994384766
reid,validation,12,15,-0.2063543716537857,-1.771993637084961,-1.6403557062149048,-1.7531120777130127,-1.681292176246643,-1.7621818780899048,-1.8903971910476685
reid,validation,13,53,0.10049980507164165,-1.8387292623519897,-1.6312170028686523,-1.815252423286438,-1.6667931079864502,-1.7381243705749512,-1.8215514421463013
reid,validation,14,2,0.22551458896398863,-1.9590773582458496,-1.9392704963684082,-1.9300220012664795,-1.9713006019592285,-1.8147408962249756,-2.0984914302825928
reid,validation,15,88,-0.023744656014553108,-1.9774165153503418,-0.9817541837692261,-1.9569041728973389,-1.0212479829788208,-1.9131312370300293,-1.2029690742492676
reid,validation,16,74,0.04426501026370146,-1.9179130792617798,-1.5706888437271118,-1.8957486152648926,-1.607215166091919,-1.8268238306045532,-1.766445517539978
reid,validation,17,31,-0.21934679536825402,-1.8186808824539185,-1.791648268699646,-1.7970322370529175,-1.830965518951416,-1.7835092544555664,-2.026221752166748
reid,validation,18,69,-0.15275728513463666,-1.6861481666564941,-2.1303820610046387,-1.6655768156051636,-2.1686577796936035,-1.6347731351852417,-2.353977918624878
reid,validation,19,19,-0.2642057701211821,-1.8269832134246826,-1.8931926488876343,-1.8064548969268799,-1.931875467300415,-1.7844473123550415,-2.1246306896209717
depablo_low_temp,validation,0,161,0.3295116081602485,-1.7129861116409302,-2.9127144813537598,-1.6788816452026367,-2.94187331199646,-1.5404678583145142,-3.0585646629333496
depablo_low_temp,validation,1,47,0.21688541973360015,-1.837043285369873,-2.5539448261260986,-1.805948257446289,-2.582711935043335,-1.6948771476745605,-2.7032699584960938
depablo_low_temp,validation,2,191,0.3575098309362807,-1.8208606243133545,-0.7631456255912781,-1.7789692878723145,-0.7968149185180664,-1.59882390499115,-0.9283967614173889
depablo_low_temp,validation,3,66,-0.38629318186037015,-2.1121742725372314,-2.2387752532958984,-2.085179090499878,-2.276611566543579,-2.124182939529419,-2.46700382232666
depablo_low_temp,validation,4,118,-0.06688024884807647,-1.8762242794036865,-1.8816030025482178,-1.847383975982666,-1.9168494939804077,-1.8062245845794678,-2.079688310623169
depablo_low_temp,validation,5,98,-0.5309896854634255,-1.645583987236023,-3.140887975692749,-1.6201682090759277,-3.171555519104004,-1.6758238077163696,-3.3398776054382324
depablo_low_temp,validation,6,2,-0.47488848375845993,-1.784977912902832,-1.6585992574691772,-1.7596220970153809,-1.691268801689148,-1.8107463121414185,-1.8628478050231934
depablo_low_temp,validation,7,136,-0.48517278054129753,-1.7432570457458496,-2.1868672370910645,-1.7155300378799438,-2.220855951309204,-1.757430911064148,-2.4005069732666016
depablo_low_temp,validation,8,131,0.34392032601864403,-1.7805709838867188,-2.279205083847046,-1.7452752590179443,-2.309114456176758,-1.5943958759307861,-2.427676200866699
depablo_low_temp,validation,9,124,-0.18820841330739146,-1.8518797159194946,-1.1652108430862427,-1.823886513710022,-1.2057595252990723,-1.8256951570510864,-1.3992247581481934
depablo_low_temp,validation,10,105,-0.5634336974090646,-2.4033312797546387,-2.0865392684936523,-2.379932165145874,-2.118358612060547,-2.4704744815826416,-2.3006575107574463
depablo_low_temp,validation,11,96,0.1942983204117418,-1.7656257152557373,-2.3361165523529053,-1.7362611293792725,-2.3699042797088623,-1.6287529468536377,-2.5084526538848877
depablo_low_temp,validation,12,152,-0.4649011985388314,-2.3772878646850586,-1.0694611072540283,-2.3501882553100586,-1.1057658195495605,-2.4186975955963135,-1.3052538633346558
depablo_low_temp,validation,13,70,0.331849194610785,-1.7652678489685059,-1.356615424156189,-1.7249466180801392,-1.3906060457229614,-1.558638334274292,-1.5272462368011475
depablo_low_temp,validation,14,169,-0.5582727125038358,-1.8114721775054932,-2.0238401889801025,-1.784780502319336,-2.056025743484497,-1.8789578676223755,-2.244127035140991
depablo_low_temp,validation,15,168,-0.43834248301162587,-2.423875093460083,-1.1372990608215332,-2.390042304992676,-1.174396276473999,-2.4271771907806396,-1.377407193183899
depablo_low_temp,validation,16,126,0.17018842708960244,-1.7542420625686646,-1.9271490573883057,-1.7250010967254639,-1.9614429473876953,-1.6240148544311523,-2.1058127880096436
depablo_low_temp,validation,17,196,0.09937616913140154,-2.0477259159088135,-2.5884101390838623,-2.0181427001953125,-2.6206717491149902,-1.9336366653442383,-2.759559154510498
depablo_low_temp,validation,18,138,-0.4089054548701009,-2.1252496242523193,-1.6469069719314575,-2.095038414001465,-1.6865872144699097,-2.1323680877685547,-1.8949047327041626
